customer_name,email,industrytype,purchasedate,month,city,region,country,price_USD,payment_method,referral_source,customer_segment,shoot_day,shoot_time
Jessica Olsen DVM,vbailey@example.com,Stock Photo License,2025-05-10,2025-05,Moonburgh,Ohio,United States,40.27,PayPal,Facebook,Returning Customer,Friday,17:00
Donna Landry,gibsonleonard@example.com,Wedding,2025-05-05,2025-05,Port Eugenechester,British Columbia,Canada,1760.72,Credit Card,Instagram,New Customer,Saturday,19:00
April Booth,mgutierrez@example.net,Wedding,2025-05-05,2025-05,Port Richardhaven,Arizona,United States,2789.41,Credit Card,Direct Visit,New Customer,Saturday,17:00
Olivia Harris,sarakim@example.net,Wedding,2025-05-06,2025-05,Cindyfort,Alberta,Canada,1898.45,Credit Card,Referral,Returning Customer,Saturday,17:00
Emily Smith,hdavis@example.com,Event,2025-05-09,2025-05,Martinezbury,Wisconsin,United States,1148.41,Credit Card,Referral,Business Client,Sunday,15:00
Dorothy Thornton,edavenport@example.org,Event,2025-05-07,2025-05,Lake Marilynfort,Manitoba,Canada,323.28,Credit Card,Instagram,New Customer,Thursday,19:00
Kyle Francis,michellehill@example.com,Event,2025-05-07,2025-05,Arnoldfurt,Ontario,Canada,1124.47,Cash,Facebook,New Customer,Sunday,19:00
Aaron Barber,cgrimes@example.net,Portrait,2025-05-06,2025-05,Sarahhaven,Saskatchewan,Canada,176.15,Cash,Direct Visit,New Customer,Thursday,18:30
Jamie Cantu,tinaallen@example.com,Wedding,2025-05-06,2025-05,Reedside,Alberta,Canada,1878.6,Credit Card,Instagram,Returning Customer,Friday,11:00
Patrick Thornton,qhughes@example.net,Event,2025-05-09,2025-05,Port Kimberly,Manitoba,Canada,748.64,PayPal,Facebook,New Customer,Thursday,12:00
Vincent Rivera,sawyerscott@example.net,Event,2025-05-11,2025-05,South Tammie,Michigan,United States,409.28,Apple Pay,Google Search,Returning Customer,Friday,19:00
Matthew Moore,qharrington@example.com,Wedding,2025-05-11,2025-05,Smithberg,Tennessee,United States,2988.39,Bank Transfer,Direct Visit,Business Client,Saturday,11:00
Shannon James,courtney78@example.org,Portrait,2025-05-09,2025-05,Santosmouth,Quebec,Canada,270.62,Apple Pay,Direct Visit,Business Client,Thursday,13:00
Nicole Hamilton MD,wallaceheather@example.org,Wedding,2025-05-10,2025-05,East Crystalport,Nova Scotia,Canada,1604.72,Credit Card,Facebook,Business Client,Friday,17:00
Jeffrey Sanchez,yknight@example.org,Real Estate,2025-05-10,2025-05,West Lauraport,British Columbia,Canada,389.96,Bank Transfer,Direct Visit,Business Client,Tuesday,11:00
Lisa Allen,jesselittle@example.com,Portrait,2025-05-11,2025-05,East Christian,Arizona,United States,383.21,Credit Card,Facebook,Business Client,Tuesday,18:30
Megan Moore,llandry@example.com,Event,2025-05-08,2025-05,Elizabethmouth,Illinois,United States,1030.27,Apple Pay,Direct Visit,New Customer,Friday,15:00
Christina Cruz,yrodriguez@example.net,Wedding,2025-05-06,2025-05,Vaughnmouth,Arizona,United States,2767.56,PayPal,Google Search,New Customer,Sunday,11:00
Ronald Foster,knightgina@example.net,Stock Photo License,2025-05-10,2025-05,Baileyport,British Columbia,Canada,41.93,Cash,Direct Visit,New Customer,Monday,15:00
Crystal Pham,danaoliver@example.net,Wedding,2025-05-11,2025-05,New Julieport,Ontario,Canada,2446.74,Credit Card,Referral,New Customer,Sunday,11:00
Amanda Kramer,rileyjessica@example.org,Wedding,2025-05-08,2025-05,Lake Colton,Alberta,Canada,1543.42,PayPal,Instagram,Returning Customer,Saturday,17:00
Carlos Ryan,alyssa42@example.com,Event,2025-05-06,2025-05,Markchester,Manitoba,Canada,1013.27,PayPal,Referral,Occasional Buyer,Thursday,19:00
Gina Wilson,taylortammy@example.net,Wedding,2025-05-07,2025-05,Coffeyport,British Columbia,Canada,2191.72,Apple Pay,Instagram,New Customer,Saturday,11:00
Richard Smith,gibsonemily@example.net,Product,2025-05-08,2025-05,Coffeyside,Alberta,Canada,792.59,Bank Transfer,Instagram,Occasional Buyer,Thursday,14:00
David Johnson,rose31@example.net,Product,2025-05-08,2025-05,Brendastad,Saskatchewan,Canada,263.99,Bank Transfer,Google Search,Occasional Buyer,Wednesday,14:00
Audrey Williams,torrestravis@example.org,Event,2025-05-10,2025-05,Blankenshipport,Nova Scotia,Canada,547.03,Bank Transfer,Instagram,Returning Customer,Thursday,19:00
Michael Paul,umatthews@example.org,Portrait,2025-05-10,2025-05,New Derek,Michigan,United States,309.15,Cash,Google Search,Returning Customer,Tuesday,10:00
Teresa Ramirez,jeff73@example.com,Event,2025-05-08,2025-05,Penafort,Illinois,United States,381.12,Apple Pay,Facebook,Returning Customer,Sunday,12:00
Donald Donaldson,ndavis@example.net,Product,2025-05-07,2025-05,Lake Michaelstad,Nova Scotia,Canada,698.28,Credit Card,Referral,Occasional Buyer,Thursday,12:00
Rachel Harris DVM,brendali@example.org,Wedding,2025-05-11,2025-05,North Kristinbury,Ontario,Canada,2949.75,Cash,Google Search,New Customer,Friday,19:00
William Huerta,lauren10@example.org,Wedding,2025-05-10,2025-05,Kimtown,Ontario,Canada,2052.88,PayPal,Referral,New Customer,Saturday,19:00
Alexis Baker,judyfox@example.net,Product,2025-05-11,2025-05,West Kristybury,Massachusetts,United States,536.84,Bank Transfer,Email Campaign,New Customer,Tuesday,14:00
Ashley Gordon,acostaregina@example.net,Wedding,2025-05-08,2025-05,South Shanestad,Missouri,United States,2919.39,PayPal,Referral,New Customer,Saturday,11:00
John Morales,henryrenee@example.org,Event,2025-05-11,2025-05,Stephentown,Arizona,United States,968.83,Credit Card,Referral,Returning Customer,Sunday,19:00
Marcus Richards,oscar98@example.com,Product,2025-05-10,2025-05,West Charleneland,Quebec,Canada,367.84,Bank Transfer,Google Search,Occasional Buyer,Tuesday,12:00
Michael Farrell,russellbeasley@example.com,Portrait,2025-05-10,2025-05,Wagnerchester,Quebec,Canada,375.42,Credit Card,Referral,New Customer,Monday,18:30
Brandon Simmons,nicholas27@example.org,Wedding,2025-05-11,2025-05,Mariafurt,Illinois,United States,2459.24,Apple Pay,Instagram,New Customer,Saturday,17:00
Parker Cain,willisanna@example.com,Real Estate,2025-05-07,2025-05,Port Christopherchester,Wisconsin,United States,203.58,Credit Card,Facebook,Business Client,Tuesday,11:00
Michelle Schmitt,michael98@example.org,Wedding,2025-05-07,2025-05,South Michaelchester,California,United States,1694.99,Bank Transfer,Instagram,Returning Customer,Saturday,11:00
Hayley Hawkins,farmeraudrey@example.com,Wedding,2025-05-06,2025-05,Lake Timothy,Tennessee,United States,1898.05,Cash,Facebook,Returning Customer,Saturday,11:00
Donald Farmer,michael22@example.net,Wedding,2025-05-11,2025-05,New Sarahview,Saskatchewan,Canada,2255.76,Credit Card,Google Search,Occasional Buyer,Saturday,17:00
Joseph Bennett,xpeterson@example.com,Real Estate,2025-05-06,2025-05,Jonestown,New Jersey,United States,313.14,Apple Pay,Instagram,New Customer,Thursday,09:30
Sophia Moore,craigjoseph@example.net,Wedding,2025-05-09,2025-05,Kimberlyshire,Manitoba,Canada,2449.62,Apple Pay,Referral,New Customer,Saturday,17:00
Daniel Hunt,russell49@example.com,Event,2025-05-10,2025-05,Tuckermouth,Quebec,Canada,1067.51,Cash,Facebook,Business Client,Friday,15:00
Mrs. Christine Dougherty,kathrynroberts@example.org,Portrait,2025-05-08,2025-05,Brandonfurt,Quebec,Canada,332.4,Cash,Google Search,New Customer,Wednesday,16:30
Joseph Hall,charles06@example.org,Wedding,2025-05-10,2025-05,South Julieburgh,Maryland,United States,2147.81,Apple Pay,Direct Visit,New Customer,Saturday,14:00
Laura Mckinney,zroberts@example.org,Wedding,2025-05-10,2025-05,Morsemouth,Manitoba,Canada,2030.4,Bank Transfer,Facebook,New Customer,Friday,11:00
Tamara Davis,sanchezbrianna@example.net,Portrait,2025-05-09,2025-05,Georgemouth,Ontario,Canada,188.68,Bank Transfer,Direct Visit,New Customer,Monday,16:30
Richard Jones,schmidtjames@example.com,Portrait,2025-05-10,2025-05,South Monicamouth,Ontario,Canada,290.24,PayPal,Facebook,Business Client,Friday,10:00
Charles Gonzalez,kathleenrios@example.org,Portrait,2025-05-05,2025-05,Jessicaberg,Illinois,United States,234.96,Credit Card,Google Search,Business Client,Tuesday,18:30
Joann Glass,michelle52@example.com,Wedding,2025-05-08,2025-05,Marshallshire,Texas,United States,2129.75,PayPal,Instagram,Business Client,Saturday,17:00
Leslie Bell,collinsshannon@example.org,Wedding,2025-05-09,2025-05,South Scottport,British Columbia,Canada,1622.37,PayPal,Direct Visit,New Customer,Saturday,19:00
Vanessa Davis,jford@example.net,Portrait,2025-05-10,2025-05,Marieland,Georgia,United States,220.81,Cash,Direct Visit,New Customer,Thursday,16:30
Erica Alvarez,susanhayes@example.com,Wedding,2025-05-10,2025-05,South Reginashire,Ontario,Canada,2917.99,Credit Card,Referral,Business Client,Friday,17:00
Jeffrey Gonzales,michaelhardin@example.com,Wedding,2025-05-10,2025-05,New Debbieton,Washington,United States,2070.31,Credit Card,Referral,New Customer,Saturday,17:00
Maria Jones,grantpaul@example.com,Product,2025-05-10,2025-05,Schroederton,British Columbia,Canada,717.27,Credit Card,Referral,New Customer,Friday,12:00
Sydney Collins,tanderson@example.org,Portrait,2025-05-10,2025-05,West Christopher,Nova Scotia,Canada,350.33,Credit Card,Instagram,New Customer,Wednesday,10:00
Meagan Calderon,lucasrodney@example.com,Portrait,2025-05-11,2025-05,Angelicamouth,Nova Scotia,Canada,169.66,PayPal,Google Search,Returning Customer,Wednesday,13:00
Ralph Lee,ericphillips@example.org,Wedding,2025-05-11,2025-05,West Kyleborough,New York,United States,2264.93,PayPal,Facebook,New Customer,Saturday,14:00
Brittany White,jenniferwilliams@example.com,Event,2025-05-10,2025-05,Lake Matthewberg,Alberta,Canada,984.19,Apple Pay,Direct Visit,New Customer,Friday,19:00
Rachel Young,kylestokes@example.com,Product,2025-05-10,2025-05,South Cheryl,Quebec,Canada,538.7,Cash,Google Search,New Customer,Friday,12:00
Jessica Hammond,ashaw@example.org,Event,2025-05-10,2025-05,West Erika,Michigan,United States,1016.7,Cash,Referral,New Customer,Saturday,19:00
Amy Castillo,angela18@example.org,Portrait,2025-05-10,2025-05,Port Cassandra,Manitoba,Canada,221.77,Apple Pay,Email Campaign,Business Client,Monday,18:30
Taylor Hernandez,odavis@example.com,Portrait,2025-05-10,2025-05,Christopherburgh,Texas,United States,352.45,Cash,Google Search,Business Client,Wednesday,18:30
Jonathan Young,brooksanthony@example.org,Real Estate,2025-05-06,2025-05,Sarahchester,Massachusetts,United States,591.19,Cash,Direct Visit,Returning Customer,Tuesday,09:30
Thomas Kennedy,katherineharrison@example.net,Wedding,2025-05-08,2025-05,Laceyberg,New Jersey,United States,2059.28,Credit Card,Facebook,New Customer,Saturday,17:00
Kimberly Acosta,srodriguez@example.org,Event,2025-05-10,2025-05,North Andrewborough,Maryland,United States,555.73,PayPal,Facebook,New Customer,Friday,15:00
Riley Bryant,copelandvincent@example.net,Event,2025-05-06,2025-05,Davidbury,Saskatchewan,Canada,895.92,Bank Transfer,Instagram,Returning Customer,Thursday,15:00
Doris Smith,john62@example.net,Real Estate,2025-05-10,2025-05,Lake Zacharybury,Manitoba,Canada,469.39,Bank Transfer,Google Search,New Customer,Friday,09:30
Kimberly Hartman,myerstheodore@example.net,Wedding,2025-05-11,2025-05,New Theresaland,Illinois,United States,1821.29,Credit Card,Facebook,Business Client,Saturday,14:00
Heather Jones,jessicafuller@example.net,Wedding,2025-05-11,2025-05,Zavalaview,Nova Scotia,Canada,2656.31,Apple Pay,Instagram,Returning Customer,Friday,11:00
Robin Thompson,epollard@example.net,Wedding,2025-05-10,2025-05,Dennisstad,Ontario,Canada,1771.27,Cash,Facebook,Returning Customer,Saturday,14:00
Terri Johnson,bradleygonzalez@example.org,Wedding,2025-05-08,2025-05,Port Dennis,Missouri,United States,2166.3,PayPal,Facebook,Occasional Buyer,Friday,19:00
Robert Kennedy,mullinsjames@example.com,Real Estate,2025-05-07,2025-05,Sarahhaven,Nova Scotia,Canada,551.99,Bank Transfer,Referral,Returning Customer,Friday,11:00
Jacob Preston,ykline@example.com,Portrait,2025-05-07,2025-05,Port Dianaview,Ontario,Canada,190.51,Cash,Facebook,Returning Customer,Friday,13:00
Robert Adams,acostachristian@example.net,Wedding,2025-05-11,2025-05,South Heather,Alberta,Canada,2768.84,Apple Pay,Instagram,Business Client,Saturday,14:00
Garrett Phillips,bmorrison@example.org,Wedding,2025-05-11,2025-05,New Kelly,Ontario,Canada,2865.76,Cash,Direct Visit,New Customer,Friday,11:00
Susan Mendez,yhill@example.org,Portrait,2025-05-07,2025-05,Bellton,Nova Scotia,Canada,170.4,PayPal,Instagram,New Customer,Wednesday,10:00
Nicole Moore,thomascathy@example.com,Product,2025-05-11,2025-05,Lake Danastad,Florida,United States,483.47,Credit Card,Facebook,New Customer,Thursday,12:00
Travis Johnson,erikarush@example.com,Wedding,2025-05-10,2025-05,East Carlosstad,Michigan,United States,2910.34,Credit Card,Google Search,New Customer,Saturday,17:00
Jacob Edwards,john10@example.net,Event,2025-05-05,2025-05,Hinesshire,Indiana,United States,860.53,Apple Pay,Instagram,Business Client,Sunday,19:00
Autumn Hampton,nlewis@example.com,Wedding,2025-05-08,2025-05,South April,Indiana,United States,1502.35,Bank Transfer,Google Search,Occasional Buyer,Saturday,14:00
Jodi Roach,zosborn@example.net,Portrait,2025-05-09,2025-05,Gonzalezberg,Ontario,Canada,346.6,Cash,Facebook,New Customer,Monday,18:30
Donna Evans,jenniferho@example.net,Wedding,2025-05-08,2025-05,Elizabethland,Quebec,Canada,2682.78,Credit Card,Facebook,Returning Customer,Friday,11:00
William Conner,kristyjohnson@example.net,Real Estate,2025-05-10,2025-05,Port Michael,Saskatchewan,Canada,187.54,PayPal,Instagram,New Customer,Thursday,13:30
Stephen Jones,ukey@example.com,Real Estate,2025-05-08,2025-05,Tannerside,New Jersey,United States,328.84,Bank Transfer,Direct Visit,New Customer,Monday,09:30
William Day,howens@example.com,Real Estate,2025-05-05,2025-05,Hammondshire,Nova Scotia,Canada,336.7,Credit Card,Email Campaign,New Customer,Tuesday,11:00
Catherine Burch,dshaw@example.org,Wedding,2025-05-11,2025-05,Port Kimberly,Quebec,Canada,2052.03,Cash,Email Campaign,New Customer,Friday,19:00
Michael Reed,meghan43@example.net,Product,2025-05-11,2025-05,West Fred,Manitoba,Canada,511.57,PayPal,Direct Visit,New Customer,Thursday,10:00
Anna Davidson,georgeweber@example.net,Wedding,2025-05-08,2025-05,Davidport,Massachusetts,United States,1991.88,Bank Transfer,Referral,New Customer,Saturday,19:00
Scott Miller,debra96@example.net,Product,2025-05-11,2025-05,Meganshire,Florida,United States,411.54,Cash,Facebook,Returning Customer,Wednesday,14:00
Tyler Webb,eevans@example.net,Event,2025-05-05,2025-05,South Pamelaside,Florida,United States,443.99,PayPal,Email Campaign,New Customer,Sunday,12:00
Gerald Thomas,jessica56@example.org,Portrait,2025-05-10,2025-05,East Scottfort,Alberta,Canada,291.81,Credit Card,Direct Visit,New Customer,Thursday,16:30
John Adams,donaldwilliams@example.com,Portrait,2025-05-07,2025-05,Zacharyville,Tennessee,United States,228.6,Apple Pay,Referral,Occasional Buyer,Monday,10:00
Taylor Griffith,kathrynjimenez@example.net,Wedding,2025-05-10,2025-05,Wrightburgh,Quebec,Canada,2662.45,Credit Card,Instagram,Business Client,Saturday,17:00
