customer_name,email,industrytype,purchasedate,month,city,region,country,price_USD,payment_method,referral_source,customer_segment,shoot_day,shoot_time
Marie Kim DDS,wrightcaleb@example.org,Portrait,2025-04-13,2025-04,Lake Larry,Manitoba,Canada,181.44,Apple Pay,Referral,Occasional Buyer,Friday,13:00
Mark Perez,heathchad@example.org,Product,2025-04-09,2025-04,New Jeffrey,Alberta,Canada,653.16,Apple Pay,Referral,New Customer,Wednesday,12:00
Miranda Khan,esanchez@example.com,Wedding,2025-04-09,2025-04,Elizabethborough,Texas,United States,2007.13,PayPal,Google Search,Occasional Buyer,Saturday,11:00
Jeff Owens,nuneztracey@example.org,Product,2025-04-09,2025-04,North Collin,Quebec,Canada,242.51,Apple Pay,Instagram,Business Client,Wednesday,14:00
Connor West,dwhite@example.org,Product,2025-04-09,2025-04,South Jessicaville,New York,United States,545.73,Credit Card,Email Campaign,New Customer,Thursday,12:00
Matthew Fernandez,novaksara@example.org,Portrait,2025-04-06,2025-04,South Lindseyside,Saskatchewan,Canada,266.76,Bank Transfer,Google Search,New Customer,Monday,10:00
James Brown,ysmith@example.com,Wedding,2025-04-12,2025-04,South Todd,Florida,United States,2172.92,Cash,Direct Visit,New Customer,Saturday,19:00
Katelyn Lee,tanyariley@example.net,Event,2025-04-06,2025-04,Mitchellside,Arizona,United States,786.53,Cash,Referral,New Customer,Thursday,12:00
Kathryn Farrell,brianromero@example.org,Portrait,2025-04-12,2025-04,Lake Leeton,Nova Scotia,Canada,164.66,Cash,Facebook,New Customer,Monday,18:30
Todd Hudson,harveyrobert@example.net,Stock Photo License,2025-04-13,2025-04,New Carlosbury,Quebec,Canada,74.77,Credit Card,Direct Visit,Business Client,Tuesday,11:00
Emily Baker,emilyevans@example.com,Wedding,2025-04-06,2025-04,Sarahborough,Indiana,United States,1970.41,Credit Card,Instagram,New Customer,Saturday,14:00
Angel Lewis MD,nicole35@example.com,Wedding,2025-04-12,2025-04,North Stephenshire,Wisconsin,United States,2792.73,Credit Card,Referral,Returning Customer,Saturday,14:00
Lisa Archer,contrerasangela@example.net,Event,2025-04-10,2025-04,South Martha,Quebec,Canada,584.73,Bank Transfer,Referral,New Customer,Friday,19:00
Brittney Campbell,jenniferharris@example.net,Event,2025-04-07,2025-04,East Josephville,Florida,United States,711.5,Apple Pay,Instagram,Returning Customer,Thursday,15:00
Sarah Davis,ccalderon@example.org,Wedding,2025-04-07,2025-04,Williamview,Quebec,Canada,2023.51,Cash,Direct Visit,Business Client,Friday,17:00
Jeremy Thornton,rodriguezsierra@example.net,Event,2025-04-06,2025-04,Kellieview,Illinois,United States,1188.51,Bank Transfer,Google Search,Business Client,Saturday,19:00
Juan Jordan,parkerrachel@example.org,Event,2025-04-10,2025-04,New Barry,Quebec,Canada,439.9,Bank Transfer,Direct Visit,New Customer,Friday,19:00
Heather Castro,vdickson@example.org,Product,2025-04-07,2025-04,Jasonbury,California,United States,707.66,Bank Transfer,Instagram,Returning Customer,Thursday,12:00
Cassandra Gutierrez,jillcook@example.com,Wedding,2025-04-12,2025-04,Port Francisco,Illinois,United States,2611.85,Apple Pay,Google Search,Business Client,Saturday,11:00
Janet Williams,dwalker@example.com,Event,2025-04-08,2025-04,West Erik,Nova Scotia,Canada,433.28,Credit Card,Facebook,New Customer,Thursday,15:00
Matthew Ross,michelle45@example.net,Wedding,2025-04-12,2025-04,Loribury,Pennsylvania,United States,1654.19,PayPal,Referral,New Customer,Sunday,14:00
Alexander Wiley,gregory40@example.org,Event,2025-04-12,2025-04,Frazierside,New York,United States,598.97,Cash,Google Search,Business Client,Friday,15:00
William Wilson,jonathanfletcher@example.org,Wedding,2025-04-13,2025-04,Reedmouth,California,United States,2724.88,PayPal,Referral,New Customer,Saturday,14:00
Tammie Hanson,cortezkevin@example.com,Product,2025-04-10,2025-04,West Ryan,Saskatchewan,Canada,780.13,Apple Pay,Facebook,Occasional Buyer,Wednesday,14:00
Cheryl Ortega,lbyrd@example.net,Wedding,2025-04-08,2025-04,Nguyenport,New York,United States,2955.6,Apple Pay,Referral,New Customer,Saturday,17:00
Daniel Floyd,steven73@example.net,Real Estate,2025-04-07,2025-04,Richardtown,North Carolina,United States,318.2,Credit Card,Email Campaign,New Customer,Thursday,13:30
Diane Beck,clarence34@example.org,Portrait,2025-04-09,2025-04,Leonburgh,New Jersey,United States,351.63,Apple Pay,Facebook,Returning Customer,Wednesday,18:30
John Atkinson,gibsonolivia@example.net,Wedding,2025-04-10,2025-04,East Andrew,Saskatchewan,Canada,2850.07,Bank Transfer,Direct Visit,New Customer,Saturday,17:00
David Douglas Jr.,osbornejeffery@example.net,Portrait,2025-04-08,2025-04,Lake Heather,Manitoba,Canada,385.09,Credit Card,Facebook,New Customer,Friday,16:30
Barbara Anderson,jcontreras@example.net,Portrait,2025-04-11,2025-04,Williamsbury,Saskatchewan,Canada,295.0,PayPal,Direct Visit,New Customer,Thursday,18:30
Michelle Wagner,vmerritt@example.com,Product,2025-04-08,2025-04,Stephaniemouth,Ontario,Canada,677.61,PayPal,Email Campaign,New Customer,Monday,12:00
Destiny Strickland,rsims@example.com,Real Estate,2025-04-06,2025-04,Greenbury,Massachusetts,United States,173.68,Cash,Email Campaign,Returning Customer,Tuesday,11:00
Steven Miller,jessebenson@example.net,Event,2025-04-12,2025-04,Lake Justinview,New York,United States,645.58,Cash,Instagram,New Customer,Friday,12:00
John Brown,xprice@example.net,Stock Photo License,2025-04-06,2025-04,North Robert,Massachusetts,United States,50.9,PayPal,Referral,Returning Customer,Friday,11:00
Aaron Bell,acastaneda@example.net,Stock Photo License,2025-04-13,2025-04,Port Nicoleshire,Nova Scotia,Canada,54.77,Apple Pay,Referral,Business Client,Friday,17:00
Allen Rogers,dramsey@example.org,Event,2025-04-10,2025-04,South Jeffrey,Nova Scotia,Canada,727.21,Apple Pay,Referral,Returning Customer,Friday,19:00
Jeffrey Camacho,brentgray@example.org,Wedding,2025-04-10,2025-04,South Brittanytown,Manitoba,Canada,1616.23,Credit Card,Instagram,New Customer,Saturday,17:00
Trevor Fisher,ruizkaitlyn@example.org,Portrait,2025-04-09,2025-04,Murphyfurt,British Columbia,Canada,188.2,Apple Pay,Referral,New Customer,Monday,18:30
Marissa Webster,jamessmith@example.org,Wedding,2025-04-06,2025-04,Jeffreyland,Ontario,Canada,2130.22,Bank Transfer,Facebook,Business Client,Friday,19:00
Travis Marshall,katie29@example.net,Product,2025-04-12,2025-04,East Thomas,Tennessee,United States,772.06,PayPal,Facebook,New Customer,Friday,14:00
Alexander Collins,tsanders@example.org,Wedding,2025-04-12,2025-04,Port Loriport,Wisconsin,United States,2004.19,Apple Pay,Google Search,Occasional Buyer,Friday,19:00
Raymond Jefferson,hoganashlee@example.org,Event,2025-04-07,2025-04,New Hannahbury,Quebec,Canada,896.7,Credit Card,Facebook,New Customer,Sunday,12:00
Matthew Smith,gshort@example.com,Wedding,2025-04-12,2025-04,Amandastad,Nova Scotia,Canada,1990.27,Credit Card,Referral,New Customer,Saturday,19:00
Jessica Gross,christina87@example.com,Portrait,2025-04-11,2025-04,Cynthiamouth,California,United States,399.98,PayPal,Instagram,Business Client,Tuesday,10:00
Samuel Rivas,ramirezshannon@example.com,Event,2025-04-13,2025-04,Petersenshire,Massachusetts,United States,514.69,Bank Transfer,Facebook,New Customer,Thursday,19:00
Catherine Lewis,matthew94@example.net,Event,2025-04-07,2025-04,Rogersfort,Maryland,United States,973.13,Credit Card,Facebook,Returning Customer,Friday,15:00
Jason Peters,hannahbrewer@example.com,Product,2025-04-09,2025-04,New Stacyland,New York,United States,425.18,Bank Transfer,Email Campaign,Returning Customer,Monday,14:00
Jared Sanchez,thomas85@example.com,Wedding,2025-04-06,2025-04,Mcguireland,Ontario,Canada,2975.77,Apple Pay,Email Campaign,New Customer,Saturday,19:00
David Martinez,leslienewton@example.net,Real Estate,2025-04-07,2025-04,Michaelmouth,Saskatchewan,Canada,511.17,PayPal,Referral,New Customer,Thursday,11:00
Dr. William Warren,tina34@example.org,Portrait,2025-04-13,2025-04,East Javier,British Columbia,Canada,312.61,PayPal,Google Search,New Customer,Thursday,18:30
Beth Williams,tranheidi@example.org,Portrait,2025-04-12,2025-04,Harrytown,Nova Scotia,Canada,337.62,Bank Transfer,Instagram,New Customer,Wednesday,10:00
Julie Alexander,tammyking@example.com,Portrait,2025-04-10,2025-04,Garciatown,Indiana,United States,214.59,PayPal,Google Search,New Customer,Friday,16:30
Mark Brown,lisaavery@example.org,Portrait,2025-04-09,2025-04,Port Cameronfort,Nova Scotia,Canada,288.79,Credit Card,Google Search,New Customer,Thursday,18:30
Kyle Montgomery,chayes@example.com,Portrait,2025-04-11,2025-04,North Angela,Saskatchewan,Canada,210.83,Apple Pay,Facebook,New Customer,Thursday,16:30
Natalie Meza,colleenbaker@example.org,Portrait,2025-04-09,2025-04,Torreston,Ontario,Canada,226.66,Apple Pay,Email Campaign,New Customer,Monday,13:00
Aaron Hayes,ocarter@example.com,Wedding,2025-04-10,2025-04,East Glenn,Quebec,Canada,2226.3,Bank Transfer,Instagram,New Customer,Sunday,14:00
David Baker,ronaldstephens@example.net,Event,2025-04-06,2025-04,Jacquelinemouth,Saskatchewan,Canada,413.92,PayPal,Email Campaign,Business Client,Thursday,19:00
Christopher Parker,scott74@example.net,Portrait,2025-04-10,2025-04,West Margaret,British Columbia,Canada,368.18,PayPal,Google Search,New Customer,Thursday,18:30
Jessica George,mnavarro@example.com,Product,2025-04-07,2025-04,Benderhaven,Maryland,United States,268.45,Credit Card,Instagram,New Customer,Thursday,12:00
Alicia Hubbard,barbara27@example.net,Event,2025-04-09,2025-04,North Jeremyshire,Manitoba,Canada,573.45,Apple Pay,Direct Visit,New Customer,Thursday,19:00
Jessica Olsen DVM,vbailey@example.com,Portrait,2025-04-13,2025-04,Moonburgh,Manitoba,Canada,262.63,Apple Pay,Google Search,Returning Customer,Wednesday,18:30
Donna Landry,gibsonleonard@example.com,Event,2025-04-09,2025-04,Port Eugenechester,Pennsylvania,United States,1152.83,PayPal,Instagram,Returning Customer,Friday,15:00
April Booth,mgutierrez@example.net,Wedding,2025-04-13,2025-04,Port Richardhaven,Saskatchewan,Canada,2112.78,Bank Transfer,Email Campaign,Business Client,Saturday,14:00
Olivia Harris,sarakim@example.net,Wedding,2025-04-10,2025-04,Cindyfort,Ontario,Canada,1850.14,Apple Pay,Instagram,Returning Customer,Friday,14:00
Emily Smith,hdavis@example.com,Product,2025-04-07,2025-04,Martinezbury,Manitoba,Canada,695.98,Apple Pay,Facebook,New Customer,Monday,10:00
Dorothy Thornton,edavenport@example.org,Portrait,2025-04-12,2025-04,Lake Marilynfort,Ontario,Canada,226.02,Apple Pay,Google Search,Business Client,Wednesday,18:30
Kyle Francis,michellehill@example.com,Event,2025-04-06,2025-04,Arnoldfurt,North Carolina,United States,843.34,Apple Pay,Google Search,Business Client,Thursday,12:00
Aaron Barber,cgrimes@example.net,Wedding,2025-04-13,2025-04,Sarahhaven,Saskatchewan,Canada,2278.45,Cash,Google Search,New Customer,Sunday,14:00
Jamie Cantu,tinaallen@example.com,Portrait,2025-04-07,2025-04,Reedside,Saskatchewan,Canada,230.26,Cash,Facebook,Returning Customer,Tuesday,16:30
Patrick Thornton,qhughes@example.net,Portrait,2025-04-06,2025-04,Port Kimberly,British Columbia,Canada,340.12,Bank Transfer,Google Search,Occasional Buyer,Thursday,10:00
Vincent Rivera,sawyerscott@example.net,Portrait,2025-04-06,2025-04,South Tammie,Ontario,Canada,278.65,PayPal,Direct Visit,New Customer,Friday,18:30
Matthew Moore,qharrington@example.com,Real Estate,2025-04-06,2025-04,Smithberg,Michigan,United States,412.7,Cash,Email Campaign,New Customer,Tuesday,11:00
Shannon James,courtney78@example.org,Wedding,2025-04-09,2025-04,Santosmouth,Missouri,United States,2445.03,Cash,Google Search,New Customer,Friday,17:00
Nicole Hamilton MD,wallaceheather@example.org,Real Estate,2025-04-07,2025-04,East Crystalport,Manitoba,Canada,156.73,Bank Transfer,Referral,Business Client,Tuesday,11:00
Jeffrey Sanchez,yknight@example.org,Stock Photo License,2025-04-08,2025-04,West Lauraport,Florida,United States,37.19,Bank Transfer,Referral,New Customer,Thursday,11:00
Lisa Allen,jesselittle@example.com,Real Estate,2025-04-06,2025-04,East Christian,Nova Scotia,Canada,233.59,Apple Pay,Direct Visit,Occasional Buyer,Wednesday,13:30
Megan Moore,llandry@example.com,Portrait,2025-04-13,2025-04,Elizabethmouth,Alberta,Canada,187.15,Bank Transfer,Instagram,Occasional Buyer,Wednesday,16:30
Christina Cruz,yrodriguez@example.net,Wedding,2025-04-12,2025-04,Vaughnmouth,Alberta,Canada,2074.46,PayPal,Referral,Occasional Buyer,Saturday,19:00
Ronald Foster,knightgina@example.net,Wedding,2025-04-11,2025-04,Baileyport,Indiana,United States,2948.03,Cash,Google Search,Business Client,Friday,19:00
Crystal Pham,danaoliver@example.net,Portrait,2025-04-08,2025-04,New Julieport,British Columbia,Canada,313.7,Apple Pay,Email Campaign,New Customer,Monday,18:30
Amanda Kramer,rileyjessica@example.org,Wedding,2025-04-12,2025-04,Lake Colton,Wisconsin,United States,1992.85,Credit Card,Instagram,Returning Customer,Sunday,19:00
Carlos Ryan,alyssa42@example.com,Product,2025-04-07,2025-04,Markchester,Massachusetts,United States,798.46,PayPal,Email Campaign,New Customer,Thursday,10:00
Gina Wilson,taylortammy@example.net,Wedding,2025-04-06,2025-04,Coffeyport,Quebec,Canada,1986.56,PayPal,Direct Visit,New Customer,Saturday,17:00
Richard Smith,gibsonemily@example.net,Event,2025-04-08,2025-04,Coffeyside,Manitoba,Canada,462.05,PayPal,Referral,Occasional Buyer,Thursday,19:00
David Johnson,rose31@example.net,Wedding,2025-04-10,2025-04,Brendastad,British Columbia,Canada,2191.72,Apple Pay,Instagram,New Customer,Saturday,11:00
Audrey Williams,torrestravis@example.org,Product,2025-04-10,2025-04,Blankenshipport,Alberta,Canada,792.59,Bank Transfer,Instagram,Occasional Buyer,Thursday,14:00
Michael Paul,umatthews@example.org,Product,2025-04-12,2025-04,New Derek,Saskatchewan,Canada,263.99,Bank Transfer,Google Search,Occasional Buyer,Friday,12:00
Teresa Ramirez,jeff73@example.com,Event,2025-04-06,2025-04,Penafort,Wisconsin,United States,547.03,Bank Transfer,Instagram,Returning Customer,Sunday,15:00
Donald Donaldson,ndavis@example.net,Event,2025-04-08,2025-04,Lake Michaelstad,Michigan,United States,909.99,Cash,Google Search,Returning Customer,Thursday,19:00
Rachel Harris DVM,brendali@example.org,Event,2025-04-10,2025-04,North Kristinbury,Quebec,Canada,381.12,PayPal,Instagram,Business Client,Saturday,19:00
William Huerta,lauren10@example.org,Product,2025-04-10,2025-04,Kimtown,Nova Scotia,Canada,419.51,Bank Transfer,Email Campaign,Business Client,Tuesday,12:00
Alexis Baker,judyfox@example.net,Real Estate,2025-04-07,2025-04,West Kristybury,Nova Scotia,Canada,334.17,Apple Pay,Facebook,New Customer,Tuesday,09:30
Ashley Gordon,acostaregina@example.net,Portrait,2025-04-07,2025-04,South Shanestad,Manitoba,Canada,216.11,Cash,Email Campaign,Occasional Buyer,Thursday,16:30
John Morales,henryrenee@example.org,Wedding,2025-04-06,2025-04,Stephentown,Florida,United States,1850.73,Cash,Email Campaign,New Customer,Saturday,17:00
Marcus Richards,oscar98@example.com,Portrait,2025-04-06,2025-04,West Charleneland,New York,United States,184.94,PayPal,Direct Visit,New Customer,Wednesday,18:30
Michael Farrell,russellbeasley@example.com,Portrait,2025-04-12,2025-04,Wagnerchester,Saskatchewan,Canada,317.62,Credit Card,Referral,Returning Customer,Friday,13:00
Brandon Simmons,nicholas27@example.org,Product,2025-04-11,2025-04,Mariafurt,Quebec,Canada,367.84,Bank Transfer,Google Search,Occasional Buyer,Tuesday,12:00
Parker Cain,willisanna@example.com,Portrait,2025-04-11,2025-04,Port Christopherchester,Quebec,Canada,375.42,Credit Card,Referral,New Customer,Monday,18:30
Michelle Schmitt,michael98@example.org,Wedding,2025-04-06,2025-04,South Michaelchester,Illinois,United States,2459.24,Apple Pay,Instagram,New Customer,Saturday,17:00
Hayley Hawkins,farmeraudrey@example.com,Real Estate,2025-04-09,2025-04,Lake Timothy,Wisconsin,United States,203.58,Credit Card,Facebook,Business Client,Tuesday,11:00
Donald Farmer,michael22@example.net,Wedding,2025-04-10,2025-04,New Sarahview,Illinois,United States,1694.99,Credit Card,Facebook,Business Client,Friday,11:00
Joseph Bennett,xpeterson@example.com,Wedding,2025-04-08,2025-04,Jonestown,Manitoba,Canada,1985.66,Credit Card,Email Campaign,New Customer,Saturday,14:00
Sophia Moore,craigjoseph@example.net,Portrait,2025-04-07,2025-04,Kimberlyshire,Indiana,United States,240.51,Bank Transfer,Referral,Returning Customer,Thursday,13:00
Daniel Hunt,russell49@example.com,Wedding,2025-04-12,2025-04,Tuckermouth,Saskatchewan,Canada,2997.88,Cash,Google Search,Business Client,Saturday,11:00
Mrs. Christine Dougherty,kathrynroberts@example.org,Portrait,2025-04-08,2025-04,Brandonfurt,Manitoba,Canada,187.08,Apple Pay,Facebook,New Customer,Wednesday,16:30
Joseph Hall,charles06@example.org,Event,2025-04-07,2025-04,South Julieburgh,Quebec,Canada,389.26,Cash,Facebook,Business Client,Friday,15:00
Laura Mckinney,zroberts@example.org,Portrait,2025-04-11,2025-04,Morsemouth,British Columbia,Canada,332.4,PayPal,Email Campaign,Occasional Buyer,Thursday,16:30
Tamara Davis,sanchezbrianna@example.net,Wedding,2025-04-07,2025-04,Georgemouth,Missouri,United States,2747.66,Credit Card,Direct Visit,Occasional Buyer,Saturday,17:00
Richard Jones,schmidtjames@example.com,Event,2025-04-12,2025-04,South Monicamouth,Nova Scotia,Canada,903.01,Credit Card,Facebook,Returning Customer,Saturday,19:00
Charles Gonzalez,kathleenrios@example.org,Portrait,2025-04-09,2025-04,Jessicaberg,New York,United States,294.48,Bank Transfer,Direct Visit,New Customer,Tuesday,18:30
Joann Glass,michelle52@example.com,Real Estate,2025-04-12,2025-04,Marshallshire,Wisconsin,United States,387.05,Bank Transfer,Google Search,New Customer,Friday,13:30
Leslie Bell,collinsshannon@example.org,Event,2025-04-11,2025-04,South Scottport,Illinois,United States,578.09,Apple Pay,Email Campaign,New Customer,Saturday,12:00
Vanessa Davis,jford@example.net,Wedding,2025-04-06,2025-04,Marieland,Alberta,Canada,2449.76,Cash,Facebook,New Customer,Saturday,14:00
Erica Alvarez,susanhayes@example.com,Portrait,2025-04-07,2025-04,South Reginashire,Wisconsin,United States,231.1,Credit Card,Email Campaign,New Customer,Monday,13:00
Jeffrey Gonzales,michaelhardin@example.com,Portrait,2025-04-13,2025-04,New Debbieton,Indiana,United States,256.0,Credit Card,Facebook,New Customer,Thursday,16:30
Maria Jones,grantpaul@example.com,Wedding,2025-04-13,2025-04,Schroederton,Georgia,United States,2517.73,Cash,Direct Visit,New Customer,Saturday,17:00
Sydney Collins,tanderson@example.org,Wedding,2025-04-08,2025-04,West Christopher,Ontario,Canada,2917.99,Credit Card,Referral,Business Client,Friday,17:00
Meagan Calderon,lucasrodney@example.com,Wedding,2025-04-09,2025-04,Angelicamouth,Washington,United States,2070.31,Credit Card,Referral,New Customer,Saturday,17:00
Ralph Lee,ericphillips@example.org,Product,2025-04-12,2025-04,West Kyleborough,British Columbia,Canada,717.27,Credit Card,Referral,New Customer,Friday,12:00
Brittany White,jenniferwilliams@example.com,Portrait,2025-04-13,2025-04,Lake Matthewberg,Nova Scotia,Canada,350.33,Credit Card,Instagram,New Customer,Wednesday,10:00
Rachel Young,kylestokes@example.com,Portrait,2025-04-10,2025-04,South Cheryl,Nova Scotia,Canada,169.66,PayPal,Google Search,Returning Customer,Wednesday,13:00
Jessica Hammond,ashaw@example.org,Wedding,2025-04-11,2025-04,West Erika,New York,United States,2264.93,PayPal,Facebook,New Customer,Saturday,14:00
Amy Castillo,angela18@example.org,Event,2025-04-07,2025-04,Port Cassandra,Alberta,Canada,984.19,Apple Pay,Direct Visit,New Customer,Friday,19:00
Taylor Hernandez,odavis@example.com,Product,2025-04-11,2025-04,Christopherburgh,Ontario,Canada,538.7,Cash,Referral,Returning Customer,Wednesday,10:00
Jonathan Young,brooksanthony@example.org,Real Estate,2025-04-11,2025-04,Sarahchester,Alberta,Canada,395.71,Cash,Google Search,New Customer,Friday,09:30
Thomas Kennedy,katherineharrison@example.net,Real Estate,2025-04-07,2025-04,Laceyberg,Alberta,Canada,138.37,Apple Pay,Direct Visit,Occasional Buyer,Friday,13:30
Kimberly Acosta,srodriguez@example.org,Event,2025-04-09,2025-04,North Andrewborough,Manitoba,Canada,336.92,PayPal,Google Search,New Customer,Saturday,19:00
Riley Bryant,copelandvincent@example.net,Real Estate,2025-04-07,2025-04,Davidbury,Texas,United States,518.69,PayPal,Email Campaign,New Customer,Friday,13:30
Doris Smith,john62@example.net,Portrait,2025-04-08,2025-04,Lake Zacharybury,Alberta,Canada,280.69,Cash,Facebook,Returning Customer,Wednesday,16:30
Kimberly Hartman,myerstheodore@example.net,Wedding,2025-04-11,2025-04,New Theresaland,British Columbia,Canada,2446.33,Bank Transfer,Email Campaign,Business Client,Saturday,11:00
Heather Jones,jessicafuller@example.net,Stock Photo License,2025-04-08,2025-04,Zavalaview,Virginia,United States,55.14,Bank Transfer,Email Campaign,Returning Customer,Wednesday,11:00
Robin Thompson,epollard@example.net,Portrait,2025-04-07,2025-04,Dennisstad,Nova Scotia,Canada,298.76,PayPal,Email Campaign,Business Client,Wednesday,18:30
Terri Johnson,bradleygonzalez@example.org,Product,2025-04-07,2025-04,Port Dennis,Ontario,Canada,798.3,Bank Transfer,Facebook,New Customer,Thursday,14:00
Robert Kennedy,mullinsjames@example.com,Wedding,2025-04-13,2025-04,Sarahhaven,Florida,United States,2921.5,Bank Transfer,Google Search,Returning Customer,Saturday,14:00
Jacob Preston,ykline@example.com,Portrait,2025-04-06,2025-04,Port Dianaview,Quebec,Canada,334.66,PayPal,Instagram,Business Client,Wednesday,13:00
Robert Adams,acostachristian@example.net,Real Estate,2025-04-08,2025-04,South Heather,British Columbia,Canada,504.52,PayPal,Referral,Returning Customer,Thursday,09:30
Garrett Phillips,bmorrison@example.org,Real Estate,2025-04-09,2025-04,New Kelly,Nova Scotia,Canada,491.9,Cash,Instagram,New Customer,Friday,09:30
Susan Mendez,yhill@example.org,Product,2025-04-13,2025-04,Bellton,Quebec,Canada,790.66,PayPal,Direct Visit,New Customer,Wednesday,12:00
Nicole Moore,thomascathy@example.com,Wedding,2025-04-11,2025-04,Lake Danastad,Michigan,United States,2461.77,Credit Card,Instagram,New Customer,Saturday,11:00
Travis Johnson,erikarush@example.com,Product,2025-04-12,2025-04,East Carlosstad,British Columbia,Canada,288.41,Credit Card,Referral,New Customer,Monday,10:00
Jacob Edwards,john10@example.net,Portrait,2025-04-07,2025-04,Hinesshire,New Jersey,United States,208.94,Credit Card,Email Campaign,Returning Customer,Wednesday,13:00
Autumn Hampton,nlewis@example.com,Real Estate,2025-04-10,2025-04,South April,Tennessee,United States,168.8,Cash,Direct Visit,New Customer,Thursday,13:30
Jodi Roach,zosborn@example.net,Wedding,2025-04-08,2025-04,Gonzalezberg,Michigan,United States,1883.89,PayPal,Facebook,New Customer,Saturday,19:00
Donna Evans,jenniferho@example.net,Wedding,2025-04-13,2025-04,Elizabethland,Indiana,United States,2458.43,Apple Pay,Instagram,Business Client,Saturday,19:00
William Conner,kristyjohnson@example.net,Wedding,2025-04-11,2025-04,Port Michael,Florida,United States,1502.35,Apple Pay,Facebook,New Customer,Saturday,19:00
Stephen Jones,ukey@example.com,Portrait,2025-04-06,2025-04,Tannerside,Washington,United States,276.83,Bank Transfer,Facebook,Business Client,Thursday,18:30
William Day,howens@example.com,Portrait,2025-04-09,2025-04,Hammondshire,Texas,United States,166.89,Bank Transfer,Direct Visit,New Customer,Monday,16:30
Catherine Burch,dshaw@example.org,Event,2025-04-13,2025-04,Port Kimberly,Illinois,United States,1047.35,Credit Card,Email Campaign,Business Client,Sunday,19:00
Michael Reed,meghan43@example.net,Portrait,2025-04-06,2025-04,West Fred,British Columbia,Canada,223.36,Apple Pay,Referral,Occasional Buyer,Tuesday,10:00
Anna Davidson,georgeweber@example.net,Portrait,2025-04-09,2025-04,Davidport,New Jersey,United States,213.33,Bank Transfer,Google Search,Business Client,Wednesday,16:30
Scott Miller,debra96@example.net,Portrait,2025-04-13,2025-04,Meganshire,Tennessee,United States,250.01,Cash,Facebook,Occasional Buyer,Thursday,16:30
Tyler Webb,eevans@example.net,Portrait,2025-04-12,2025-04,South Pamelaside,Missouri,United States,350.29,Bank Transfer,Facebook,New Customer,Monday,18:30
Gerald Thomas,jessica56@example.org,Portrait,2025-04-13,2025-04,East Scottfort,Massachusetts,United States,223.91,Bank Transfer,Referral,New Customer,Friday,18:30
John Adams,donaldwilliams@example.com,Product,2025-04-12,2025-04,Zacharyville,Florida,United States,411.54,Cash,Facebook,Returning Customer,Wednesday,14:00
Taylor Griffith,kathrynjimenez@example.net,Event,2025-04-06,2025-04,Wrightburgh,Ontario,Canada,443.99,PayPal,Google Search,New Customer,Friday,19:00
