Customer Name,Email,Photo Type,Purchase Date,Month,Price USD,Country,Payment Method,Referral Source,Customer Segment,Shoot Day,Shoot Time
Lauren Williams,barnesbrandy@example.net,Event,2025-03-18,2025-03,957.45,United States,Bank Transfer,Instagram,Occasional Buyer,Sunday,12:00
Michael Edwards,randy47@example.com,Portrait,2024-08-01,2024-08,285.55,United States,Apple Pay,Referral,Returning Customer,Wednesday,10:00
Alexandra Howell,jonesjason@example.com,Product,2025-03-14,2025-03,294.46,United States,Credit Card,Direct Visit,New Customer,Friday,10:00
Benjamin Sanchez,eric84@example.net,Product,2024-05-26,2024-05,442.27,United States,Apple Pay,Google Search,New Customer,Friday,10:00
Kendra Contreras,sarah12@example.com,Portrait,2025-04-03,2025-04,280.7,Canada,PayPal,Facebook,New Customer,Wednesday,13:00
Juan Nelson,jenniferharris@example.net,Event,2024-05-20,2024-05,570.0,United States,Cash,Direct Visit,Occasional Buyer,Saturday,12:00
Danielle Odonnell,davisrodney@example.com,Stock Photo License,2025-02-14,2025-02,28.66,Canada,PayPal,Facebook,Business Client,Tuesday,17:00
Carlos Whitney,joycearnold@example.com,Product,2024-04-24,2024-04,421.72,Canada,Apple Pay,Email Campaign,Returning Customer,Tuesday,12:00
Tony Vazquez,amydavenport@example.net,Event,2024-10-30,2024-10,799.14,Canada,Credit Card,Google Search,Business Client,Thursday,12:00
Andrew Diaz,nolanjason@example.org,Wedding,2024-10-27,2024-10,1922.63,United States,Bank Transfer,Direct Visit,New Customer,Saturday,17:00
Justin Baxter,sarayoung@example.org,Product,2024-12-08,2024-12,707.66,Canada,Bank Transfer,Google Search,New Customer,Monday,14:00
Sierra Johnson,kimberly63@example.com,Real Estate,2025-03-31,2025-03,418.56,Canada,Apple Pay,Email Campaign,New Customer,Wednesday,09:30
Janet Williams,dwalker@example.com,Wedding,2024-06-05,2024-06,1612.87,United States,Bank Transfer,Direct Visit,Returning Customer,Friday,14:00
Crystal Johnson,raymondramirez@example.org,Portrait,2024-07-28,2024-07,160.46,Canada,PayPal,Email Campaign,New Customer,Wednesday,10:00
Martin Ross,sheila14@example.org,Wedding,2025-03-27,2025-03,2670.17,United States,PayPal,Instagram,Occasional Buyer,Friday,19:00
Mrs. Linda Reed,samuel81@example.com,Real Estate,2024-11-06,2024-11,540.71,Canada,Cash,Email Campaign,Business Client,Monday,09:30
Andrew Graham,michaeljones@example.net,Real Estate,2025-03-03,2025-03,233.4,United States,Cash,Instagram,New Customer,Monday,11:00
Mary Martinez,william65@example.com,Product,2025-03-11,2025-03,409.8,United States,PayPal,Referral,New Customer,Tuesday,10:00
Cheryl Ortega,lbyrd@example.net,Product,2024-12-19,2024-12,780.13,Canada,Apple Pay,Facebook,Occasional Buyer,Wednesday,12:00
Roy Torres,russellcarpenter@example.net,Wedding,2024-11-02,2024-11,2955.6,United States,Credit Card,Direct Visit,New Customer,Saturday,17:00
Michael Dixon,donnacampbell@example.net,Event,2024-08-03,2024-08,582.31,United States,Bank Transfer,Google Search,Business Client,Thursday,15:00
Robert Potter,jeffrey32@example.org,Wedding,2024-11-25,2024-11,2888.36,Canada,Cash,Google Search,Occasional Buyer,Saturday,14:00
Miss Patricia Gibson,jennifercruz@example.com,Product,2024-04-24,2024-04,573.89,Canada,Apple Pay,Facebook,Returning Customer,Monday,14:00
Abigail Potter,osbornejeffery@example.net,Wedding,2024-07-06,2024-07,2545.81,Canada,Cash,Email Campaign,Business Client,Saturday,14:00
David Charles,danderson@example.net,Wedding,2024-10-14,2024-10,2353.66,Canada,Bank Transfer,Instagram,New Customer,Saturday,11:00
Emily Fischer,usalazar@example.net,Portrait,2024-10-19,2024-10,313.68,Canada,PayPal,Direct Visit,New Customer,Thursday,18:30
Jill Moore,wcole@example.org,Product,2024-09-11,2024-09,677.61,United States,Bank Transfer,Direct Visit,Returning Customer,Tuesday,14:00
Richard Washington,joshuajones@example.com,Event,2025-02-09,2025-02,384.05,Canada,PayPal,Instagram,New Customer,Friday,19:00
Steven Miller,jessebenson@example.net,Wedding,2024-07-02,2024-07,2975.9,Canada,Cash,Email Campaign,Returning Customer,Saturday,11:00
Gary Owens,clarkrobert@example.net,Event,2024-06-25,2024-06,645.58,United States,Credit Card,Google Search,Business Client,Sunday,12:00
Spencer Johnston,wsmith@example.com,Wedding,2025-03-20,2025-03,2706.16,United States,Apple Pay,Instagram,Occasional Buyer,Saturday,19:00
Tiffany Barnes,tracynelson@example.com,Wedding,2025-01-08,2025-01,1700.01,Canada,Apple Pay,Email Campaign,Business Client,Saturday,17:00
Michael Powell,marycalhoun@example.net,Portrait,2024-04-18,2024-04,376.71,Canada,Cash,Facebook,Business Client,Thursday,13:00
Leslie Alvarado,dayderek@example.com,Real Estate,2024-10-20,2024-10,238.66,United States,Bank Transfer,Referral,New Customer,Friday,11:00
Garrett Gibson,kathleen64@example.com,Wedding,2024-06-13,2024-06,1907.57,United States,PayPal,Instagram,New Customer,Saturday,11:00
Alec Ryan,jeffrey10@example.org,Wedding,2024-07-09,2024-07,1820.93,Canada,Cash,Google Search,New Customer,Saturday,17:00
Alex Hernandez,thomaswilson@example.org,Portrait,2025-03-21,2025-03,376.21,Canada,Cash,Google Search,Occasional Buyer,Friday,10:00
Jacob Obrien,stricklandfrank@example.com,Wedding,2024-09-25,2024-09,2084.98,United States,Cash,Instagram,New Customer,Friday,19:00
Eric Byrd,tsanders@example.org,Portrait,2024-05-17,2024-05,247.21,Canada,PayPal,Direct Visit,Returning Customer,Thursday,13:00
Lori Garcia,melissa91@example.net,Product,2024-05-05,2024-05,555.14,Canada,PayPal,Referral,New Customer,Monday,10:00
Jeffrey Wood,alexander67@example.org,Wedding,2025-01-19,2025-01,1991.03,Canada,Bank Transfer,Referral,New Customer,Saturday,17:00
Steven Stevens,ryangross@example.net,Wedding,2024-09-13,2024-09,1529.07,United States,Credit Card,Email Campaign,New Customer,Saturday,17:00
Kimberly Webb,lpetersen@example.com,Wedding,2024-07-15,2024-07,1870.92,United States,PayPal,Referral,Returning Customer,Friday,14:00
Timothy Ramirez,dsanchez@example.net,Portrait,2024-08-03,2024-08,204.49,United States,Apple Pay,Direct Visit,Occasional Buyer,Wednesday,16:30
Allen Rosales,tonykelly@example.com,Event,2024-11-17,2024-11,1000.01,United States,Apple Pay,Google Search,Occasional Buyer,Friday,15:00
Meredith Hill,blackjames@example.org,Portrait,2024-08-10,2024-08,377.01,United States,Credit Card,Direct Visit,Returning Customer,Thursday,18:30
Peter Vaughn DDS,bwest@example.org,Event,2024-12-27,2024-12,391.71,United States,Apple Pay,Google Search,New Customer,Saturday,19:00
David Beck,thomas85@example.com,Portrait,2024-07-24,2024-07,242.64,United States,Cash,Referral,New Customer,Friday,16:30
Heather Chavez,john13@example.com,Stock Photo License,2025-04-07,2025-04,56.78,United States,Cash,Instagram,Business Client,Thursday,17:00
Pamela Lopez,joannahill@example.net,Stock Photo License,2024-05-21,2024-05,38.5,Canada,Cash,Email Campaign,Returning Customer,Friday,15:00
Diane Garcia,kennethward@example.com,Wedding,2025-03-31,2025-03,1868.24,Canada,PayPal,Referral,Returning Customer,Sunday,17:00
Denise Mccann,heidi27@example.org,Event,2024-04-13,2024-04,602.76,United States,Cash,Instagram,New Customer,Sunday,15:00
Julie Alexander,tammyking@example.com,Wedding,2025-02-21,2025-02,1919.49,United States,Apple Pay,Instagram,New Customer,Saturday,17:00
John Ray,hernandezlisa@example.com,Event,2024-05-19,2024-05,739.72,Canada,Cash,Referral,Business Client,Friday,19:00
Justin Butler,kimberlyjames@example.com,Wedding,2024-05-09,2024-05,1832.39,Canada,Cash,Direct Visit,Returning Customer,Saturday,17:00
Jessica Carroll,lynchjody@example.org,Portrait,2024-07-25,2024-07,336.48,Canada,Bank Transfer,Facebook,New Customer,Wednesday,16:30
Brad Allen,moorericky@example.net,Wedding,2024-11-22,2024-11,1788.88,United States,PayPal,Email Campaign,New Customer,Saturday,14:00
David Mann,ojones@example.com,Event,2024-11-11,2024-11,1178.95,United States,Bank Transfer,Instagram,New Customer,Saturday,12:00
Mary Peck,owilson@example.net,Wedding,2025-01-21,2025-01,2562.03,United States,Apple Pay,Facebook,Returning Customer,Saturday,11:00
Charles Brown,brooke94@example.com,Wedding,2024-06-01,2024-06,2802.69,Canada,Cash,Referral,New Customer,Saturday,11:00
Melissa Bender,mkim@example.org,Wedding,2024-05-23,2024-05,1577.07,United States,Credit Card,Referral,New Customer,Sunday,19:00
Lindsey Johnson,suzannehuff@example.net,Portrait,2025-02-27,2025-02,321.61,Canada,Credit Card,Instagram,New Customer,Tuesday,13:00
Phillip Underwood,hinesgregory@example.net,Real Estate,2024-11-08,2024-11,403.16,Canada,Cash,Referral,New Customer,Friday,09:30
Catherine Richards,ecosta@example.com,Portrait,2024-12-02,2024-12,257.21,United States,PayPal,Email Campaign,New Customer,Friday,10:00
Brian Martin,ssteele@example.net,Event,2024-09-04,2024-09,441.35,United States,PayPal,Google Search,New Customer,Friday,19:00
Krista Gibson,johnny16@example.net,Event,2025-03-19,2025-03,722.92,Canada,Bank Transfer,Email Campaign,Business Client,Thursday,12:00
Sean Murray,lopezmichael@example.com,Wedding,2025-02-03,2025-02,1850.14,Canada,Credit Card,Direct Visit,New Customer,Saturday,14:00
Christina Dunn,samuel71@example.org,Wedding,2024-11-22,2024-11,1898.45,United States,Bank Transfer,Direct Visit,Business Client,Saturday,11:00
Cynthia Moore,tranchristopher@example.org,Portrait,2025-03-30,2025-03,222.15,Canada,Cash,Facebook,Returning Customer,Monday,18:30
Ronnie Jimenez,william46@example.com,Portrait,2024-09-23,2024-09,170.11,Canada,Apple Pay,Facebook,New Customer,Monday,18:30
Juan Reyes,michellehill@example.com,Wedding,2025-04-01,2025-04,2511.45,Canada,Apple Pay,Google Search,Business Client,Friday,11:00
Debra Smith,mary97@example.org,Wedding,2024-08-10,2024-08,2278.45,United States,Apple Pay,Referral,Returning Customer,Saturday,17:00
Mr. Phillip Bennett,molly39@example.com,Portrait,2024-09-18,2024-09,172.81,Canada,Bank Transfer,Email Campaign,New Customer,Wednesday,18:30
Amanda Garner,qhughes@example.net,Wedding,2024-07-02,2024-07,2117.47,United States,Cash,Google Search,New Customer,Saturday,19:00
Andrew Shaw MD,sawyerscott@example.net,Wedding,2025-04-01,2025-04,2955.28,Canada,Cash,Google Search,New Customer,Saturday,11:00
Charles Pitts,charlesharrington@example.com,Portrait,2025-03-07,2025-03,339.11,United States,Bank Transfer,Direct Visit,New Customer,Thursday,10:00
Marie Christian,ofinley@example.net,Wedding,2024-08-09,2024-08,2821.27,United States,PayPal,Facebook,Returning Customer,Saturday,11:00
Joshua Williamson II,wendy16@example.org,Portrait,2025-02-26,2025-02,173.3,United States,PayPal,Referral,Occasional Buyer,Monday,18:30
Ashlee Jackson,rebecca05@example.org,Wedding,2025-01-11,2025-01,2558.12,Canada,PayPal,Referral,Returning Customer,Saturday,19:00
Charles Schmidt,georgemiller@example.com,Portrait,2024-07-24,2024-07,380.47,United States,Bank Transfer,Referral,New Customer,Friday,13:00
Thomas Thomas,dlittle@example.com,Real Estate,2024-11-20,2024-11,233.59,Canada,Apple Pay,Direct Visit,Occasional Buyer,Monday,11:00
Julie Roberts,charleslandry@example.net,Portrait,2024-12-08,2024-12,187.15,Canada,Bank Transfer,Direct Visit,Business Client,Friday,18:30
Melissa Bryant,james67@example.org,Portrait,2024-07-26,2024-07,383.21,Canada,PayPal,Referral,New Customer,Tuesday,13:00
Laura Haney,andrew64@example.org,Event,2024-07-03,2024-07,934.71,United States,Cash,Google Search,New Customer,Sunday,15:00
Natasha Williams,swall@example.org,Stock Photo License,2024-11-01,2024-11,41.6,United States,Apple Pay,Referral,New Customer,Monday,15:00
Mark Oliver,courtneyberger@example.net,Wedding,2024-11-16,2024-11,2806.4,Canada,Bank Transfer,Facebook,Returning Customer,Sunday,11:00
Amanda Diaz,christopherphillips@example.net,Portrait,2024-04-22,2024-04,170.08,Canada,Cash,Direct Visit,New Customer,Wednesday,18:30
Richard Walter,alyssa42@example.com,Wedding,2024-09-07,2024-09,2446.74,United States,Cash,Google Search,Business Client,Sunday,14:00
Tracy Phillips,linda71@example.org,Event,2025-03-08,2025-03,390.46,Canada,Credit Card,Google Search,New Customer,Friday,19:00
Michael Craig,zcoffey@example.net,Wedding,2025-01-09,2025-01,2037.7,Canada,Apple Pay,Email Campaign,Business Client,Saturday,14:00
Alexis Herrera,vrichardson@example.net,Wedding,2024-08-19,2024-08,1618.45,Canada,Apple Pay,Instagram,New Customer,Friday,14:00
Mark Watson,thomasharvey@example.net,Event,2024-07-12,2024-07,713.61,Canada,Apple Pay,Instagram,New Customer,Thursday,15:00
Maria Reid,tblankenship@example.net,Product,2024-08-06,2024-08,792.59,Canada,Bank Transfer,Referral,Business Client,Wednesday,14:00
Tracy Torres,pwilson@example.net,Wedding,2024-09-04,2024-09,2077.04,Canada,Apple Pay,Facebook,Returning Customer,Saturday,14:00
Michael Paul,umatthews@example.org,Stock Photo License,2024-05-27,2024-05,39.76,United States,Apple Pay,Email Campaign,Business Client,Thursday,15:00
Sandra Gilbert,antonio53@example.com,Stock Photo License,2025-02-26,2025-02,70.53,United States,Apple Pay,Facebook,New Customer,Thursday,15:00
Jack Pollard,amy50@example.com,Wedding,2024-09-17,2024-09,1875.94,United States,Credit Card,Facebook,Business Client,Friday,14:00
Tiffany Holloway,batesdarlene@example.net,Wedding,2024-07-17,2024-07,2047.29,Canada,Cash,Instagram,New Customer,Saturday,17:00
Gavin Zhang,caseyhubbard@example.org,Real Estate,2025-03-29,2025-03,538.23,Canada,PayPal,Facebook,Occasional Buyer,Wednesday,13:30
Crystal Schroeder,ramireztracey@example.org,Product,2024-11-08,2024-11,780.43,Canada,Credit Card,Referral,Occasional Buyer,Wednesday,14:00
Ashley Delacruz,alexistyler@example.org,Wedding,2024-10-22,2024-10,2949.75,Canada,Credit Card,Referral,New Customer,Friday,19:00
Derek Martinez,vfox@example.org,Portrait,2024-11-09,2024-11,263.7,Canada,Credit Card,Email Campaign,New Customer,Wednesday,18:30
Kayla Rodriguez,soniawilliams@example.net,Wedding,2024-09-29,2024-09,2826.35,United States,Cash,Email Campaign,New Customer,Saturday,14:00
Victor Brown,bboone@example.net,Portrait,2024-10-15,2024-10,184.94,Canada,Credit Card,Google Search,New Customer,Monday,16:30
Jill Lam,charlene12@example.com,Portrait,2024-05-17,2024-05,247.16,United States,Cash,Email Campaign,New Customer,Wednesday,18:30
Michelle James,shawn96@example.org,Portrait,2024-11-22,2024-11,252.03,Canada,PayPal,Referral,New Customer,Wednesday,10:00
Matthew Rich,russellbeasley@example.com,Wedding,2025-01-23,2025-01,2044.03,Canada,Credit Card,Referral,New Customer,Sunday,17:00
Jason Davis,qedwards@example.com,Stock Photo License,2024-08-10,2024-08,72.45,United States,Apple Pay,Google Search,New Customer,Thursday,11:00
Kara Davis,daviscolin@example.net,Wedding,2025-03-23,2025-03,2983.23,United States,Apple Pay,Instagram,Returning Customer,Friday,14:00
Anthony Frye,elizabeth65@example.net,Real Estate,2024-08-22,2024-08,216.5,United States,Bank Transfer,Instagram,Occasional Buyer,Tuesday,13:30
Thomas Williams,caroline51@example.net,Portrait,2025-03-18,2025-03,349.63,United States,Credit Card,Facebook,Business Client,Monday,10:00
John Boone,megan51@example.com,Wedding,2024-10-10,2024-10,1985.66,United States,Cash,Direct Visit,New Customer,Saturday,11:00
Sarah Villegas,lynchdiane@example.net,Wedding,2024-11-04,2024-11,2172.41,Canada,Apple Pay,Instagram,Occasional Buyer,Saturday,11:00
Michael Parker,michael22@example.net,Wedding,2024-07-14,2024-07,2674.84,Canada,Credit Card,Google Search,Occasional Buyer,Friday,17:00
Patrick Bonilla,reesejason@example.com,Real Estate,2024-12-04,2024-12,313.14,Canada,Credit Card,Google Search,New Customer,Monday,11:00
Eric Nguyen,wareeric@example.net,Wedding,2024-09-21,2024-09,1689.29,Canada,Apple Pay,Direct Visit,New Customer,Saturday,17:00
Jeremy Coleman,nperry@example.net,Portrait,2024-04-26,2024-04,257.55,Canada,Cash,Instagram,New Customer,Monday,13:00
Douglas Gregory,trose@example.org,Real Estate,2024-05-19,2024-05,299.37,Canada,Bank Transfer,Email Campaign,New Customer,Monday,11:00
Mrs. Christine Dougherty,kathrynroberts@example.org,Stock Photo License,2024-06-27,2024-06,59.34,United States,Credit Card,Google Search,New Customer,Thursday,11:00
Casey James,vincentwhitaker@example.com,Event,2024-04-10,2024-04,635.38,United States,Apple Pay,Direct Visit,Returning Customer,Friday,19:00
Amanda Smith,atkinsbarbara@example.net,Event,2024-05-04,2024-05,669.73,United States,Bank Transfer,Direct Visit,New Customer,Sunday,19:00
Donna Sullivan,george97@example.net,Wedding,2024-09-03,2024-09,2261.12,United States,Credit Card,Facebook,Business Client,Saturday,19:00
Ryan Sanchez,zwarren@example.com,Portrait,2025-03-10,2025-03,340.65,Canada,Apple Pay,Direct Visit,Returning Customer,Friday,13:00
Richard Jones,schmidtjames@example.com,Event,2025-01-05,2025-01,323.63,United States,Bank Transfer,Email Campaign,Business Client,Saturday,12:00
Maria Hernandez,thomasjames@example.net,Product,2024-08-14,2024-08,410.61,Canada,Credit Card,Instagram,Business Client,Tuesday,10:00
Angela Bean,kmarshall@example.net,Stock Photo License,2024-06-02,2024-06,29.59,Canada,Cash,Referral,New Customer,Friday,11:00
Kristy Reid,michelle52@example.com,Portrait,2024-09-19,2024-09,330.4,United States,PayPal,Instagram,Business Client,Friday,10:00
Eric Hill,bellcharles@example.com,Wedding,2024-05-02,2024-05,1622.37,Canada,Apple Pay,Referral,New Customer,Saturday,19:00
Ronald Jones,gilbertwilliam@example.com,Wedding,2024-09-20,2024-09,2268.52,Canada,Apple Pay,Referral,Returning Customer,Saturday,11:00
Nancy Williams,marcalvarez@example.org,Wedding,2024-11-06,2024-11,1830.78,United States,PayPal,Facebook,Occasional Buyer,Sunday,11:00
Robert Monroe,wagnergerald@example.org,Real Estate,2025-03-24,2025-03,482.08,United States,Credit Card,Referral,Business Client,Wednesday,11:00
Kelly Bishop MD,paul59@example.org,Wedding,2024-12-22,2024-12,2070.31,United States,Cash,Email Campaign,New Customer,Friday,17:00
Andrea Davis,umitchell@example.net,Wedding,2025-01-21,2025-01,2881.74,Canada,Cash,Facebook,New Customer,Friday,19:00
Brittany Miller,sabrinacollins@example.net,Wedding,2025-03-26,2025-03,1987.15,Canada,Credit Card,Referral,Business Client,Friday,19:00
Kurt Hurley,angelica52@example.net,Wedding,2024-12-19,2024-12,2383.31,Canada,Bank Transfer,Instagram,New Customer,Saturday,19:00
Yolanda Gaines,lucasrodney@example.com,Wedding,2024-12-21,2024-12,2265.72,Canada,Bank Transfer,Email Campaign,Occasional Buyer,Saturday,14:00
Trevor Peterson,ilee@example.org,Event,2024-04-14,2024-04,432.92,Canada,PayPal,Instagram,Returning Customer,Thursday,12:00
Ashley Wise,stanleynancy@example.net,Real Estate,2024-05-06,2024-05,427.75,Canada,Cash,Direct Visit,Business Client,Tuesday,13:30
Christopher Guerra,jenniferwilliams@example.com,Portrait,2024-05-25,2024-05,381.04,Canada,PayPal,Referral,New Customer,Friday,16:30
Jeremy Mitchell,pyoung@example.com,Portrait,2024-12-11,2024-12,225.71,Canada,Apple Pay,Google Search,New Customer,Wednesday,10:00
Stephanie Lee,smurray@example.com,Portrait,2025-03-27,2025-03,164.22,United States,Apple Pay,Direct Visit,Returning Customer,Wednesday,10:00
Christopher Gonzalez,moniquewilliams@example.com,Portrait,2024-10-09,2024-10,288.58,United States,Bank Transfer,Direct Visit,New Customer,Monday,18:30
Ashley Singleton,mitchellkathryn@example.com,Wedding,2025-02-21,2025-02,1592.81,United States,Apple Pay,Email Campaign,New Customer,Saturday,17:00
Sandra Davis,lisawilkerson@example.org,Wedding,2024-09-19,2024-09,2156.64,Canada,Bank Transfer,Facebook,New Customer,Saturday,14:00
James Hughes,brooksanthony@example.org,Real Estate,2024-09-06,2024-09,439.45,Canada,Credit Card,Facebook,New Customer,Monday,13:30
Raven Taylor,samantha72@example.net,Event,2025-02-09,2025-02,555.73,United States,Apple Pay,Email Campaign,New Customer,Friday,15:00
Susan Smith,marydunn@example.net,Wedding,2024-09-26,2024-09,2951.54,United States,Apple Pay,Email Campaign,Occasional Buyer,Saturday,19:00
Ricardo Young,williamsrobert@example.net,Wedding,2024-11-16,2024-11,2065.02,United States,Cash,Direct Visit,New Customer,Friday,14:00
Taylor Carlson,chenbailey@example.net,Portrait,2024-09-22,2024-09,195.07,Canada,PayPal,Instagram,Occasional Buyer,Tuesday,16:30
Lucas Allen,qlopez@example.org,Wedding,2024-05-30,2024-05,1943.69,Canada,Apple Pay,Instagram,Returning Customer,Friday,11:00
Troy Stephens,myerstheodore@example.net,Wedding,2024-10-16,2024-10,1771.27,Canada,Credit Card,Referral,New Customer,Saturday,14:00
Paul Kelly,cooperjessica@example.net,Event,2024-08-27,2024-08,1172.63,Canada,PayPal,Direct Visit,New Customer,Saturday,19:00
Nicole Anderson,amy27@example.net,Stock Photo License,2024-05-15,2024-05,64.22,Canada,Cash,Facebook,Business Client,Tuesday,15:00
Chad Baldwin,mjohnson@example.org,Portrait,2024-09-30,2024-09,254.67,United States,Bank Transfer,Google Search,Returning Customer,Tuesday,13:00
Emily Collins,ihays@example.com,Product,2025-01-22,2025-01,532.72,United States,Bank Transfer,Google Search,Business Client,Monday,14:00
Cheryl Kelly,glennmartin@example.org,Wedding,2024-07-09,2024-07,2857.96,United States,PayPal,Referral,Business Client,Saturday,19:00
James Gonzales,lmorgan@example.com,Product,2025-01-25,2025-01,448.94,Canada,PayPal,Referral,Occasional Buyer,Thursday,14:00
Robert Adams,acostachristian@example.net,Portrait,2024-12-17,2024-12,157.05,United States,PayPal,Google Search,New Customer,Monday,16:30
Edward Garcia,donna47@example.net,Real Estate,2025-04-07,2025-04,448.04,Canada,Cash,Direct Visit,New Customer,Tuesday,13:30
Jeremy West,christina64@example.net,Wedding,2024-12-26,2024-12,1883.89,United States,Bank Transfer,Instagram,New Customer,Friday,19:00
Angela Walsh,william20@example.org,Wedding,2025-04-01,2025-04,2129.74,United States,Credit Card,Referral,Returning Customer,Friday,19:00
Jessica Martinez,kimberlydiaz@example.com,Wedding,2025-02-12,2025-02,2273.06,Canada,Cash,Google Search,Returning Customer,Saturday,14:00
Christian Cole,nathan19@example.org,Wedding,2025-03-21,2025-03,2124.85,Canada,Credit Card,Direct Visit,Returning Customer,Saturday,11:00
Matthew Wright,johnsonjacob@example.net,Real Estate,2024-10-18,2024-10,353.81,Canada,Credit Card,Email Campaign,New Customer,Monday,11:00
Deborah Green,nlewis@example.com,Portrait,2024-08-27,2024-08,336.83,Canada,PayPal,Email Campaign,Returning Customer,Wednesday,10:00
Mrs. Brandy Jones MD,zosborn@example.net,Wedding,2024-12-17,2024-12,2372.85,United States,Bank Transfer,Direct Visit,New Customer,Friday,14:00
Miss Michelle Pierce,patricia22@example.com,Event,2025-03-28,2025-03,1047.35,Canada,PayPal,Instagram,New Customer,Sunday,19:00
Curtis Taylor,jjohnson@example.net,Real Estate,2024-10-11,2024-10,328.84,United States,PayPal,Google Search,New Customer,Wednesday,09:30
Kristen Salazar,jonesraymond@example.net,Wedding,2024-08-21,2024-08,2097.34,Canada,Credit Card,Email Campaign,New Customer,Friday,19:00
Patricia Morrow,martinezlogan@example.org,Portrait,2024-12-27,2024-12,345.21,United States,Bank Transfer,Referral,Business Client,Wednesday,16:30
