Customer Name,Email,Photo Type,Purchase Date,Month,City,Region,Country,Price USD,Payment Method,Referral Source,Customer Segment,Shoot Day,Shoot Time
Benjamin Sanchez,eric84@example.net,Product,2024-05-26,2024-05,San Diego,California,United States,517.22,PayPal,Google Search,New Customer,Monday,10:00
Kendra Contreras,sarah12@example.com,Portrait,2025-04-03,2025-04,Miami,Florida,United States,152.93,Bank Transfer,Instagram,Returning Customer,Thursday,18:30
Juan Nelson,jenniferharris@example.net,Portrait,2024-05-20,2024-05,Halifax,Nova Scotia,Canada,173.15,Apple Pay,Referral,New Customer,Friday,16:30
Danielle Odonnell,davisrodney@example.com,Portrait,2025-02-14,2025-02,Idaho Falls,Idaho,United States,317.16,Cash,Direct Visit,New Customer,Wednesday,16:30
Carlos Whitney,joycearnold@example.com,Wedding,2024-04-24,2024-04,Kansas City,Missouri,United States,1740.91,Credit Card,Instagram,Occasional Buyer,Saturday,14:00
Tony Vazquez,amydavenport@example.net,Wedding,2024-10-30,2024-10,Ottawa,Ontario,Canada,2425.73,Apple Pay,Instagram,New Customer,Saturday,11:00
Andrew Diaz,nolanjason@example.org,Wedding,2024-10-27,2024-10,Halifax,Nova Scotia,Canada,2142.73,Bank Transfer,Direct Visit,Returning Customer,Friday,14:00
Justin Baxter,sarayoung@example.org,Real Estate,2024-12-08,2024-12,Boise,Idaho,United States,239.13,Apple Pay,Instagram,New Customer,Tuesday,13:30
Sierra Johnson,kimberly63@example.com,Event,2025-03-31,2025-03,Austin,Texas,United States,856.37,Apple Pay,Referral,Business Client,Friday,19:00
Janet Williams,dwalker@example.com,Portrait,2024-06-05,2024-06,Cambridge,Massachusetts,United States,336.53,Cash,Facebook,New Customer,Thursday,18:30
Crystal Johnson,raymondramirez@example.org,Wedding,2024-07-28,2024-07,Toronto,Ontario,Canada,2800.37,Credit Card,Referral,New Customer,Saturday,11:00
Martin Ross,sheila14@example.org,Portrait,2025-03-27,2025-03,Houston,Texas,United States,189.86,Apple Pay,Instagram,New Customer,Thursday,18:30
Mrs. Linda Reed,samuel81@example.com,Wedding,2024-11-06,2024-11,Orlando,Florida,United States,2102.16,PayPal,Referral,New Customer,Friday,14:00
Andrew Graham,michaeljones@example.net,Event,2025-03-03,2025-03,St. Louis,Missouri,United States,653.28,Apple Pay,Referral,New Customer,Thursday,19:00
Mary Martinez,william65@example.com,Event,2025-03-11,2025-03,Albany,New York,United States,850.72,Bank Transfer,Facebook,Occasional Buyer,Thursday,19:00
Cheryl Ortega,lbyrd@example.net,Event,2024-12-19,2024-12,Chicago,Illinois,United States,683.32,Cash,Facebook,New Customer,Friday,19:00
Roy Torres,russellcarpenter@example.net,Wedding,2024-11-02,2024-11,Little Rock,Arkansas,United States,2358.71,Cash,Google Search,Returning Customer,Saturday,19:00
Michael Dixon,donnacampbell@example.net,Product,2024-08-03,2024-08,Edmonton,Alberta,Canada,584.16,Bank Transfer,Facebook,New Customer,Wednesday,12:00
Robert Potter,jeffrey32@example.org,Event,2024-11-25,2024-11,Seattle,Washington,United States,599.1,Bank Transfer,Google Search,Occasional Buyer,Sunday,19:00
Miss Patricia Gibson,jennifercruz@example.com,Event,2024-04-24,2024-04,Quebec City,Quebec,Canada,1083.35,Apple Pay,Google Search,Returning Customer,Sunday,12:00
Abigail Potter,osbornejeffery@example.net,Wedding,2024-07-06,2024-07,Toronto,Ontario,Canada,3175.26,Cash,Email Campaign,Business Client,Saturday,19:00
David Charles,danderson@example.net,Event,2024-10-14,2024-10,Spokane,Washington,United States,924.59,Cash,Email Campaign,Occasional Buyer,Sunday,19:00
Emily Fischer,usalazar@example.net,Event,2024-10-19,2024-10,Houston,Texas,United States,596.07,Credit Card,Email Campaign,New Customer,Saturday,15:00
Jill Moore,wcole@example.org,Portrait,2024-09-11,2024-09,Edmonton,Alberta,Canada,391.4,Credit Card,Facebook,New Customer,Wednesday,18:30
Richard Washington,joshuajones@example.com,Wedding,2025-02-09,2025-02,Calgary,Alberta,Canada,2656.21,Cash,Facebook,Business Client,Saturday,17:00
Steven Miller,jessebenson@example.net,Portrait,2024-07-02,2024-07,Seattle,Washington,United States,364.92,Bank Transfer,Google Search,Occasional Buyer,Tuesday,16:30
Gary Owens,clarkrobert@example.net,Event,2024-06-25,2024-06,Cambridge,Massachusetts,United States,1050.64,Bank Transfer,Email Campaign,New Customer,Sunday,12:00
Spencer Johnston,wsmith@example.com,Real Estate,2025-03-20,2025-03,Spokane,Washington,United States,695.58,Credit Card,Instagram,Returning Customer,Wednesday,09:30
Tiffany Barnes,tracynelson@example.com,Real Estate,2025-01-08,2025-01,Winnipeg,Manitoba,Canada,313.76,Credit Card,Instagram,New Customer,Thursday,13:30
Michael Powell,marycalhoun@example.net,Wedding,2024-04-18,2024-04,Cambridge,Massachusetts,United States,2412.3,Cash,Google Search,Business Client,Saturday,14:00
Leslie Alvarado,dayderek@example.com,Portrait,2024-10-20,2024-10,Chicago,Illinois,United States,206.21,Apple Pay,Instagram,Returning Customer,Monday,13:00
Garrett Gibson,kathleen64@example.com,Real Estate,2024-06-13,2024-06,Seattle,Washington,United States,709.96,Cash,Email Campaign,Business Client,Tuesday,09:30
Alec Ryan,jeffrey10@example.org,Stock Photo License,2024-07-09,2024-07,Chicago,Illinois,United States,67.88,Cash,Direct Visit,Returning Customer,Thursday,15:00
Alex Hernandez,thomaswilson@example.org,Real Estate,2025-03-21,2025-03,Boston,Massachusetts,United States,468.54,Bank Transfer,Email Campaign,Business Client,Friday,11:00
Jacob Obrien,stricklandfrank@example.com,Portrait,2024-09-25,2024-09,Springfield,Illinois,United States,375.01,Apple Pay,Facebook,New Customer,Tuesday,16:30
Eric Byrd,tsanders@example.org,Real Estate,2024-05-17,2024-05,St. Louis,Missouri,United States,331.06,Cash,Direct Visit,New Customer,Monday,13:30
Lori Garcia,melissa91@example.net,Event,2024-05-05,2024-05,Halifax,Nova Scotia,Canada,803.94,Bank Transfer,Direct Visit,Business Client,Friday,15:00
Jeffrey Wood,alexander67@example.org,Event,2025-01-19,2025-01,Spokane,Washington,United States,429.83,Apple Pay,Referral,Returning Customer,Friday,12:00
Steven Stevens,ryangross@example.net,Product,2024-09-13,2024-09,Kansas City,Missouri,United States,245.42,Bank Transfer,Direct Visit,New Customer,Wednesday,10:00
Kimberly Webb,lpetersen@example.com,Portrait,2024-07-15,2024-07,Ottawa,Ontario,Canada,409.31,PayPal,Email Campaign,New Customer,Tuesday,18:30
Timothy Ramirez,dsanchez@example.net,Wedding,2024-08-03,2024-08,Springfield,Illinois,United States,2697.62,PayPal,Direct Visit,Occasional Buyer,Saturday,19:00
Allen Rosales,tonykelly@example.com,Wedding,2024-11-17,2024-11,San Diego,California,United States,3158.04,Apple Pay,Google Search,Returning Customer,Saturday,11:00
Meredith Hill,blackjames@example.org,Stock Photo License,2024-08-10,2024-08,Miami,Florida,United States,63.69,Credit Card,Email Campaign,Occasional Buyer,Tuesday,11:00
Peter Vaughn DDS,bwest@example.org,Wedding,2024-12-27,2024-12,St. Louis,Missouri,United States,1789.53,Cash,Referral,Returning Customer,Friday,19:00
David Beck,thomas85@example.com,Wedding,2024-07-24,2024-07,St. Louis,Missouri,United States,1727.83,Cash,Google Search,New Customer,Friday,17:00
Heather Chavez,john13@example.com,Stock Photo License,2025-04-07,2025-04,Orlando,Florida,United States,56.65,Credit Card,Direct Visit,New Customer,Wednesday,15:00
Pamela Lopez,joannahill@example.net,Event,2024-05-21,2024-05,Toronto,Ontario,Canada,463.13,Credit Card,Google Search,New Customer,Thursday,19:00
Diane Garcia,kennethward@example.com,Product,2025-03-31,2025-03,Little Rock,Arkansas,United States,657.42,Apple Pay,Referral,New Customer,Tuesday,14:00
Denise Mccann,heidi27@example.org,Product,2024-04-13,2024-04,St. Louis,Missouri,United States,635.43,Apple Pay,Instagram,Business Client,Friday,12:00
Julie Alexander,tammyking@example.com,Wedding,2025-02-21,2025-02,Austin,Texas,United States,2728.49,Apple Pay,Google Search,Business Client,Saturday,11:00
John Ray,hernandezlisa@example.com,Portrait,2024-05-19,2024-05,Chicago,Illinois,United States,195.1,Credit Card,Referral,New Customer,Friday,13:00
Justin Butler,kimberlyjames@example.com,Product,2024-05-09,2024-05,Little Rock,Arkansas,United States,643.59,Cash,Google Search,Returning Customer,Friday,12:00
Jessica Carroll,lynchjody@example.org,Wedding,2024-07-25,2024-07,Orlando,Florida,United States,2940.58,Credit Card,Facebook,New Customer,Saturday,19:00
Brad Allen,moorericky@example.net,Real Estate,2024-11-22,2024-11,Montreal,Quebec,Canada,145.48,Apple Pay,Direct Visit,Business Client,Wednesday,13:30
David Mann,ojones@example.com,Wedding,2024-11-11,2024-11,Boise,Idaho,United States,1447.73,Cash,Referral,New Customer,Friday,17:00
Mary Peck,owilson@example.net,Wedding,2025-01-21,2025-01,San Francisco,California,United States,2810.26,Cash,Facebook,Business Client,Saturday,17:00
Charles Brown,brooke94@example.com,Wedding,2024-06-01,2024-06,Boise,Idaho,United States,1388.71,Bank Transfer,Email Campaign,New Customer,Friday,14:00
Melissa Bender,mkim@example.org,Wedding,2024-05-23,2024-05,Springfield,Illinois,United States,2946.28,Apple Pay,Direct Visit,Business Client,Saturday,19:00
Lindsey Johnson,suzannehuff@example.net,Wedding,2025-02-27,2025-02,Los Angeles,California,United States,3509.94,Credit Card,Email Campaign,New Customer,Friday,17:00
Phillip Underwood,hinesgregory@example.net,Wedding,2024-11-08,2024-11,Little Rock,Arkansas,United States,1761.4,Bank Transfer,Google Search,Occasional Buyer,Sunday,11:00
Catherine Richards,ecosta@example.com,Stock Photo License,2024-12-02,2024-12,St. Louis,Missouri,United States,56.38,Credit Card,Instagram,New Customer,Wednesday,15:00
Brian Martin,ssteele@example.net,Event,2024-09-04,2024-09,Springfield,Illinois,United States,939.16,Bank Transfer,Referral,Returning Customer,Saturday,12:00
Krista Gibson,johnny16@example.net,Wedding,2025-03-19,2025-03,Cambridge,Massachusetts,United States,3421.93,Bank Transfer,Direct Visit,New Customer,Friday,19:00
Sean Murray,lopezmichael@example.com,Real Estate,2025-02-03,2025-02,San Diego,California,United States,197.33,Credit Card,Google Search,New Customer,Tuesday,09:30
Christina Dunn,samuel71@example.org,Portrait,2024-11-22,2024-11,Toronto,Ontario,Canada,230.21,Bank Transfer,Direct Visit,New Customer,Wednesday,18:30
Cynthia Moore,tranchristopher@example.org,Real Estate,2025-03-30,2025-03,Calgary,Alberta,Canada,297.45,Apple Pay,Referral,New Customer,Tuesday,09:30
Ronnie Jimenez,william46@example.com,Portrait,2024-09-23,2024-09,San Francisco,California,United States,213.42,PayPal,Google Search,Business Client,Monday,18:30
Juan Reyes,michellehill@example.com,Event,2025-04-01,2025-04,Victoria,British Columbia,Canada,833.16,Apple Pay,Google Search,Returning Customer,Friday,15:00
Debra Smith,mary97@example.org,Event,2024-08-10,2024-08,Miami,Florida,United States,339.38,Bank Transfer,Facebook,Occasional Buyer,Thursday,12:00
Mr. Phillip Bennett,molly39@example.com,Wedding,2024-09-18,2024-09,Tampa,Florida,United States,2070.05,PayPal,Instagram,Returning Customer,Sunday,11:00
Amanda Garner,qhughes@example.net,Product,2024-07-02,2024-07,Seattle,Washington,United States,289.96,Apple Pay,Facebook,Returning Customer,Tuesday,14:00
Andrew Shaw MD,sawyerscott@example.net,Wedding,2025-04-01,2025-04,St. Louis,Missouri,United States,1358.05,Apple Pay,Email Campaign,New Customer,Saturday,11:00
Charles Pitts,charlesharrington@example.com,Wedding,2025-03-07,2025-03,Calgary,Alberta,Canada,1655.69,Credit Card,Direct Visit,New Customer,Saturday,19:00
Marie Christian,ofinley@example.net,Product,2024-08-09,2024-08,Little Rock,Arkansas,United States,558.71,Apple Pay,Google Search,New Customer,Monday,14:00
Joshua Williamson II,wendy16@example.org,Wedding,2025-02-26,2025-02,Quebec City,Quebec,Canada,2424.07,Cash,Direct Visit,New Customer,Saturday,14:00
Ashlee Jackson,rebecca05@example.org,Portrait,2025-01-11,2025-01,Winnipeg,Manitoba,Canada,318.44,PayPal,Instagram,New Customer,Thursday,16:30
Charles Schmidt,georgemiller@example.com,Product,2024-07-24,2024-07,Cambridge,Massachusetts,United States,505.02,Bank Transfer,Instagram,New Customer,Monday,12:00
Thomas Thomas,dlittle@example.com,Stock Photo License,2024-11-20,2024-11,Boise,Idaho,United States,26.56,Cash,Referral,Business Client,Wednesday,11:00
Julie Roberts,charleslandry@example.net,Stock Photo License,2024-12-08,2024-12,Spokane,Washington,United States,57.82,Cash,Instagram,Business Client,Wednesday,15:00
Melissa Bryant,james67@example.org,Wedding,2024-07-26,2024-07,Tampa,Florida,United States,1791.9,Cash,Direct Visit,Business Client,Friday,17:00
Laura Haney,andrew64@example.org,Wedding,2024-07-03,2024-07,Edmonton,Alberta,Canada,1712.0,Bank Transfer,Direct Visit,New Customer,Saturday,19:00
Natasha Williams,swall@example.org,Event,2024-11-01,2024-11,St. Louis,Missouri,United States,971.9,Cash,Google Search,Returning Customer,Sunday,12:00
Mark Oliver,courtneyberger@example.net,Stock Photo License,2024-11-16,2024-11,Dallas,Texas,United States,59.03,Cash,Direct Visit,Business Client,Tuesday,17:00
Amanda Diaz,christopherphillips@example.net,Portrait,2024-04-22,2024-04,Cambridge,Massachusetts,United States,440.41,Bank Transfer,Direct Visit,Occasional Buyer,Tuesday,18:30
Richard Walter,alyssa42@example.com,Wedding,2024-09-07,2024-09,San Diego,California,United States,1917.65,Bank Transfer,Google Search,New Customer,Saturday,11:00
Tracy Phillips,linda71@example.org,Stock Photo License,2025-03-08,2025-03,Vancouver,British Columbia,Canada,48.46,Apple Pay,Facebook,Returning Customer,Monday,15:00
Michael Craig,zcoffey@example.net,Event,2025-01-09,2025-01,Quebec City,Quebec,Canada,560.77,PayPal,Instagram,New Customer,Thursday,19:00
Alexis Herrera,vrichardson@example.net,Wedding,2024-08-19,2024-08,Little Rock,Arkansas,United States,1979.21,PayPal,Google Search,Returning Customer,Saturday,17:00
Mark Watson,thomasharvey@example.net,Real Estate,2024-07-12,2024-07,Seattle,Washington,United States,201.36,Cash,Referral,New Customer,Thursday,11:00
Maria Reid,tblankenship@example.net,Event,2024-08-06,2024-08,Kansas City,Missouri,United States,394.1,Apple Pay,Facebook,Business Client,Thursday,15:00
Tracy Torres,pwilson@example.net,Wedding,2024-09-04,2024-09,Calgary,Alberta,Canada,2436.05,Credit Card,Email Campaign,New Customer,Saturday,14:00
Michael Paul,umatthews@example.org,Portrait,2024-05-27,2024-05,Chicago,Illinois,United States,395.89,Apple Pay,Direct Visit,New Customer,Thursday,10:00
Sandra Gilbert,antonio53@example.com,Portrait,2025-02-26,2025-02,Chicago,Illinois,United States,395.51,Bank Transfer,Instagram,New Customer,Monday,18:30
Jack Pollard,amy50@example.com,Portrait,2024-09-17,2024-09,Springfield,Illinois,United States,258.24,Cash,Email Campaign,New Customer,Monday,16:30
Tiffany Holloway,batesdarlene@example.net,Wedding,2024-07-17,2024-07,Austin,Texas,United States,2360.48,Cash,Referral,New Customer,Saturday,14:00
Gavin Zhang,caseyhubbard@example.org,Portrait,2025-03-29,2025-03,Springfield,Illinois,United States,350.79,Bank Transfer,Instagram,Occasional Buyer,Thursday,18:30
Crystal Schroeder,ramireztracey@example.org,Portrait,2024-11-08,2024-11,Boise,Idaho,United States,184.17,Bank Transfer,Direct Visit,Business Client,Thursday,10:00
Ashley Delacruz,alexistyler@example.org,Wedding,2024-10-22,2024-10,Houston,Texas,United States,1765.66,Credit Card,Google Search,New Customer,Saturday,14:00
Derek Martinez,vfox@example.org,Wedding,2024-11-09,2024-11,St. Louis,Missouri,United States,2073.31,Bank Transfer,Email Campaign,New Customer,Friday,19:00
Kayla Rodriguez,soniawilliams@example.net,Product,2024-09-29,2024-09,Houston,Texas,United States,755.94,Credit Card,Google Search,New Customer,Tuesday,10:00
Victor Brown,bboone@example.net,Event,2024-10-15,2024-10,Miami,Florida,United States,648.21,PayPal,Email Campaign,Occasional Buyer,Friday,15:00
Jill Lam,charlene12@example.com,Wedding,2024-05-17,2024-05,Dallas,Texas,United States,2514.24,Cash,Instagram,Returning Customer,Friday,11:00
Michelle James,shawn96@example.org,Wedding,2024-11-22,2024-11,Orlando,Florida,United States,2313.0,Credit Card,Instagram,New Customer,Sunday,11:00
Matthew Rich,russellbeasley@example.com,Portrait,2025-01-23,2025-01,Miami,Florida,United States,359.01,Apple Pay,Email Campaign,New Customer,Wednesday,18:30
Jason Davis,qedwards@example.com,Portrait,2024-08-10,2024-08,St. Louis,Missouri,United States,266.65,PayPal,Google Search,New Customer,Wednesday,16:30
Kara Davis,daviscolin@example.net,Real Estate,2025-03-23,2025-03,San Diego,California,United States,378.06,Credit Card,Facebook,Returning Customer,Thursday,09:30
Anthony Frye,elizabeth65@example.net,Event,2024-08-22,2024-08,Calgary,Alberta,Canada,954.43,Bank Transfer,Email Campaign,Business Client,Saturday,15:00
Thomas Williams,caroline51@example.net,Portrait,2025-03-18,2025-03,Springfield,Illinois,United States,399.77,Apple Pay,Instagram,New Customer,Tuesday,13:00
John Boone,megan51@example.com,Portrait,2024-10-10,2024-10,Spokane,Washington,United States,418.87,Cash,Referral,New Customer,Thursday,18:30
Sarah Villegas,lynchdiane@example.net,Product,2024-11-04,2024-11,Cambridge,Massachusetts,United States,868.82,PayPal,Referral,New Customer,Wednesday,12:00
Michael Parker,michael22@example.net,Event,2024-07-14,2024-07,Houston,Texas,United States,465.52,Cash,Referral,New Customer,Thursday,12:00
Patrick Bonilla,reesejason@example.com,Portrait,2024-12-04,2024-12,San Francisco,California,United States,271.06,PayPal,Instagram,New Customer,Friday,16:30
Eric Nguyen,wareeric@example.net,Product,2024-09-21,2024-09,Cambridge,Massachusetts,United States,355.07,Credit Card,Google Search,Occasional Buyer,Monday,12:00
Jeremy Coleman,nperry@example.net,Wedding,2024-04-26,2024-04,Little Rock,Arkansas,United States,1936.42,Cash,Referral,New Customer,Saturday,14:00
Douglas Gregory,trose@example.org,Event,2024-05-19,2024-05,Dallas,Texas,United States,915.65,Credit Card,Direct Visit,New Customer,Sunday,19:00
Mrs. Christine Dougherty,kathrynroberts@example.org,Portrait,2024-06-27,2024-06,St. Louis,Missouri,United States,333.72,Cash,Facebook,New Customer,Monday,10:00
Casey James,vincentwhitaker@example.com,Product,2024-04-10,2024-04,St. Louis,Missouri,United States,630.3,Apple Pay,Facebook,Returning Customer,Thursday,12:00
Amanda Smith,atkinsbarbara@example.net,Stock Photo License,2024-05-04,2024-05,Miami,Florida,United States,64.08,Apple Pay,Direct Visit,New Customer,Friday,11:00
Donna Sullivan,george97@example.net,Product,2024-09-03,2024-09,Quebec City,Quebec,Canada,388.08,PayPal,Direct Visit,New Customer,Monday,12:00
Ryan Sanchez,zwarren@example.com,Wedding,2025-03-10,2025-03,Spokane,Washington,United States,2501.23,PayPal,Facebook,Business Client,Saturday,17:00
Richard Jones,schmidtjames@example.com,Event,2025-01-05,2025-01,Miami,Florida,United States,594.49,PayPal,Facebook,Occasional Buyer,Sunday,19:00
Maria Hernandez,thomasjames@example.net,Real Estate,2024-08-14,2024-08,St. Louis,Missouri,United States,359.48,Credit Card,Facebook,Business Client,Friday,13:30
Angela Bean,kmarshall@example.net,Real Estate,2024-06-02,2024-06,Tampa,Florida,United States,241.23,Credit Card,Facebook,New Customer,Thursday,11:00
Kristy Reid,michelle52@example.com,Event,2024-09-19,2024-09,Los Angeles,California,United States,1183.37,Cash,Instagram,New Customer,Thursday,15:00
Eric Hill,bellcharles@example.com,Portrait,2024-05-02,2024-05,Austin,Texas,United States,228.52,Bank Transfer,Instagram,Business Client,Wednesday,18:30
Ronald Jones,gilbertwilliam@example.com,Wedding,2024-09-20,2024-09,Austin,Texas,United States,2934.16,Apple Pay,Referral,New Customer,Saturday,17:00
Nancy Williams,marcalvarez@example.org,Event,2024-11-06,2024-11,Boston,Massachusetts,United States,1058.04,Bank Transfer,Direct Visit,Business Client,Sunday,12:00
Robert Monroe,wagnergerald@example.org,Event,2025-03-24,2025-03,Springfield,Illinois,United States,811.68,PayPal,Referral,New Customer,Thursday,19:00
Kelly Bishop MD,paul59@example.org,Portrait,2024-12-22,2024-12,Houston,Texas,United States,385.03,Bank Transfer,Facebook,New Customer,Tuesday,10:00
Andrea Davis,umitchell@example.net,Portrait,2025-01-21,2025-01,Buffalo,New York,United States,198.65,PayPal,Direct Visit,Business Client,Thursday,18:30
Brittany Miller,sabrinacollins@example.net,Wedding,2025-03-26,2025-03,Montreal,Quebec,Canada,2867.14,Credit Card,Email Campaign,Returning Customer,Saturday,14:00
Kurt Hurley,angelica52@example.net,Wedding,2024-12-19,2024-12,Orlando,Florida,United States,1828.5,PayPal,Direct Visit,New Customer,Saturday,14:00
Yolanda Gaines,lucasrodney@example.com,Portrait,2024-12-21,2024-12,Boston,Massachusetts,United States,266.89,Apple Pay,Google Search,New Customer,Monday,18:30
Trevor Peterson,ilee@example.org,Event,2024-04-14,2024-04,Miami,Florida,United States,306.44,Bank Transfer,Direct Visit,Business Client,Thursday,19:00
Ashley Wise,stanleynancy@example.net,Portrait,2024-05-06,2024-05,Miami,Florida,United States,378.8,Bank Transfer,Direct Visit,New Customer,Friday,16:30
Christopher Guerra,jenniferwilliams@example.com,Wedding,2024-05-25,2024-05,Tampa,Florida,United States,1793.66,Credit Card,Email Campaign,New Customer,Friday,19:00
Jeremy Mitchell,pyoung@example.com,Wedding,2024-12-11,2024-12,Little Rock,Arkansas,United States,1418.68,PayPal,Instagram,Business Client,Saturday,11:00
Stephanie Lee,smurray@example.com,Product,2025-03-27,2025-03,Chicago,Illinois,United States,690.72,Credit Card,Email Campaign,Returning Customer,Wednesday,12:00
Christopher Gonzalez,moniquewilliams@example.com,Portrait,2024-10-09,2024-10,Chicago,Illinois,United States,227.48,Bank Transfer,Instagram,New Customer,Tuesday,13:00
Ashley Singleton,mitchellkathryn@example.com,Stock Photo License,2025-02-21,2025-02,Kansas City,Missouri,United States,46.83,Cash,Direct Visit,Returning Customer,Tuesday,15:00
Sandra Davis,lisawilkerson@example.org,Wedding,2024-09-19,2024-09,Winnipeg,Manitoba,Canada,1411.76,Apple Pay,Google Search,Business Client,Saturday,11:00
James Hughes,brooksanthony@example.org,Portrait,2024-09-06,2024-09,Ottawa,Ontario,Canada,398.63,Credit Card,Facebook,New Customer,Tuesday,10:00
