Customer Name,Email,Photo Type,Purchase Date,Month,Price USD,Country,Payment Method,Referral Source,Customer Segment
Michael Powell,marycalhoun@example.net,Portrait,2024-04-18,2024-04,219.65,United States,Bank Transfer,Facebook,Returning Customer
Leslie Alvarado,dayderek@example.com,Portrait,2024-10-20,2024-10,395.29,Canada,Credit Card,Google Search,Business Client
Garrett Gibson,kathleen64@example.com,Wedding,2024-06-13,2024-06,2370.88,Canada,Credit Card,Google Search,Returning Customer
Alec Ryan,jeffrey10@example.org,Portrait,2024-07-09,2024-07,346.61,Canada,Apple Pay,Direct Visit,New Customer
Alex Hernandez,thomaswilson@example.org,Product,2025-03-21,2025-03,314.05,United States,Cash,Google Search,Returning Customer
Jacob Obrien,stricklandfrank@example.com,Real Estate,2024-09-25,2024-09,443.43,United States,Bank Transfer,Referral,New Customer
Eric Byrd,tsanders@example.org,Event,2024-05-17,2024-05,597.18,Canada,Credit Card,Email Campaign,Occasional Buyer
Lori Garcia,melissa91@example.net,Portrait,2024-05-05,2024-05,316.72,Canada,Cash,Email Campaign,New Customer
Jeffrey Wood,alexander67@example.org,Wedding,2025-01-19,2025-01,2130.67,Canada,PayPal,Direct Visit,Returning Customer
Steven Stevens,ryangross@example.net,Portrait,2024-09-13,2024-09,358.43,Canada,Bank Transfer,Instagram,New Customer
Kimberly Webb,lpetersen@example.com,Event,2024-07-15,2024-07,889.24,Canada,Cash,Referral,Returning Customer
Timothy Ramirez,dsanchez@example.net,Portrait,2024-08-03,2024-08,348.43,United States,Credit Card,Facebook,Returning Customer
Allen Rosales,tonykelly@example.com,Event,2024-11-17,2024-11,601.67,United States,Bank Transfer,Instagram,Business Client
Meredith Hill,blackjames@example.org,Wedding,2024-08-10,2024-08,1569.32,Canada,Apple Pay,Google Search,New Customer
Peter Vaughn DDS,bwest@example.org,Product,2024-12-27,2024-12,545.4,Canada,Cash,Referral,New Customer
David Beck,thomas85@example.com,Event,2024-07-24,2024-07,304.99,United States,Cash,Instagram,New Customer
Heather Chavez,john13@example.com,Stock Photo License,2025-04-07,2025-04,50.9,United States,Apple Pay,Instagram,Occasional Buyer
Pamela Lopez,joannahill@example.net,Wedding,2024-05-21,2024-05,1700.01,Canada,Apple Pay,Direct Visit,Returning Customer
Diane Garcia,kennethward@example.com,Stock Photo License,2025-03-31,2025-03,69.57,Canada,Apple Pay,Referral,Business Client
Denise Mccann,heidi27@example.org,Event,2024-04-13,2024-04,727.21,Canada,PayPal,Email Campaign,New Customer
Julie Alexander,tammyking@example.com,Real Estate,2025-02-21,2025-02,342.3,United States,Bank Transfer,Referral,New Customer
John Ray,hernandezlisa@example.com,Wedding,2024-05-19,2024-05,1907.57,Canada,Apple Pay,Google Search,New Customer
Justin Butler,kimberlyjames@example.com,Wedding,2024-05-09,2024-05,2540.92,United States,Credit Card,Referral,New Customer
Jessica Carroll,lynchjody@example.org,Portrait,2024-07-25,2024-07,253.94,United States,Cash,Referral,Occasional Buyer
Brad Allen,moorericky@example.net,Event,2024-11-22,2024-11,925.97,Canada,Cash,Google Search,Occasional Buyer
David Mann,ojones@example.com,Wedding,2024-11-11,2024-11,2084.98,Canada,Apple Pay,Email Campaign,Business Client
Mary Peck,owilson@example.net,Real Estate,2025-01-21,2025-01,548.91,Canada,PayPal,Facebook,New Customer
Charles Brown,brooke94@example.com,Wedding,2024-06-01,2024-06,2004.19,Canada,PayPal,Referral,Occasional Buyer
Melissa Bender,mkim@example.org,Stock Photo License,2024-05-23,2024-05,51.71,Canada,Apple Pay,Direct Visit,Returning Customer
Lindsey Johnson,suzannehuff@example.net,Wedding,2025-02-27,2025-02,2142.92,Canada,PayPal,Google Search,New Customer
Phillip Underwood,hinesgregory@example.net,Portrait,2024-11-08,2024-11,263.67,Canada,Cash,Facebook,Business Client
Catherine Richards,ecosta@example.com,Real Estate,2024-12-02,2024-12,226.14,United States,Cash,Google Search,Business Client
Brian Martin,ssteele@example.net,Wedding,2024-09-04,2024-09,2927.88,United States,Credit Card,Email Campaign,New Customer
Krista Gibson,johnny16@example.net,Wedding,2025-03-19,2025-03,1870.92,United States,Apple Pay,Instagram,New Customer
Sean Murray,lopezmichael@example.com,Portrait,2025-02-03,2025-02,178.6,United States,Cash,Email Campaign,New Customer
Christina Dunn,samuel71@example.org,Portrait,2024-11-22,2024-11,301.47,United States,PayPal,Facebook,New Customer
Cynthia Moore,tranchristopher@example.org,Wedding,2025-03-30,2025-03,1967.94,Canada,Cash,Email Campaign,New Customer
Ronnie Jimenez,william46@example.com,Event,2024-09-23,2024-09,1047.51,United States,Credit Card,Email Campaign,Business Client
Juan Reyes,michellehill@example.com,Product,2025-04-01,2025-04,560.25,United States,Apple Pay,Google Search,New Customer
Debra Smith,mary97@example.org,Portrait,2024-08-10,2024-08,242.64,Canada,Credit Card,Referral,Business Client
Mr. Phillip Bennett,molly39@example.com,Wedding,2024-09-18,2024-09,2941.18,Canada,PayPal,Referral,New Customer
Amanda Garner,qhughes@example.net,Portrait,2024-07-02,2024-07,312.61,Canada,Cash,Referral,Business Client
Andrew Shaw MD,sawyerscott@example.net,Event,2025-04-01,2025-04,590.07,United States,Credit Card,Facebook,Business Client
Charles Pitts,charlesharrington@example.com,Wedding,2025-03-07,2025-03,2197.06,Canada,Bank Transfer,Google Search,New Customer
Marie Christian,ofinley@example.net,Portrait,2024-08-09,2024-08,271.89,Canada,Bank Transfer,Facebook,New Customer
Joshua Williamson II,wendy16@example.org,Event,2025-02-26,2025-02,1092.1,United States,Apple Pay,Instagram,New Customer
Ashlee Jackson,rebecca05@example.org,Event,2025-01-11,2025-01,739.72,United States,Cash,Email Campaign,Business Client
Charles Schmidt,georgemiller@example.com,Portrait,2024-07-24,2024-07,154.31,Canada,PayPal,Referral,Returning Customer
Thomas Thomas,dlittle@example.com,Portrait,2024-11-20,2024-11,295.39,Canada,Apple Pay,Direct Visit,New Customer
Julie Roberts,charleslandry@example.net,Stock Photo License,2024-12-08,2024-12,52.52,Canada,Cash,Facebook,New Customer
Melissa Bryant,james67@example.org,Wedding,2024-07-26,2024-07,2581.93,Canada,Credit Card,Email Campaign,Returning Customer
Laura Haney,andrew64@example.org,Real Estate,2024-07-03,2024-07,192.57,United States,Cash,Facebook,Business Client
Natasha Williams,swall@example.org,Stock Photo License,2024-11-01,2024-11,51.23,Canada,Credit Card,Instagram,New Customer
Mark Oliver,courtneyberger@example.net,Portrait,2024-11-16,2024-11,225.57,United States,Bank Transfer,Google Search,Occasional Buyer
Amanda Diaz,christopherphillips@example.net,Event,2024-04-22,2024-04,927.68,United States,Cash,Google Search,Business Client
Richard Walter,alyssa42@example.com,Event,2024-09-07,2024-09,722.46,Canada,Bank Transfer,Instagram,Occasional Buyer
Tracy Phillips,linda71@example.org,Wedding,2025-03-08,2025-03,2792.58,United States,Credit Card,Referral,New Customer
Michael Craig,zcoffey@example.net,Event,2025-01-09,2025-01,917.81,United States,PayPal,Direct Visit,Occasional Buyer
Alexis Herrera,vrichardson@example.net,Wedding,2024-08-19,2024-08,1872.29,Canada,Apple Pay,Direct Visit,Business Client
Mark Watson,thomasharvey@example.net,Wedding,2024-07-12,2024-07,2283.86,Canada,Cash,Facebook,Business Client
Maria Reid,tblankenship@example.net,Stock Photo License,2024-08-06,2024-08,40.27,United States,Apple Pay,Email Campaign,New Customer
Tracy Torres,pwilson@example.net,Real Estate,2024-09-04,2024-09,412.76,Canada,Credit Card,Instagram,New Customer
Michael Paul,umatthews@example.org,Event,2024-05-27,2024-05,440.88,Canada,Cash,Email Campaign,Returning Customer
Sandra Gilbert,antonio53@example.com,Wedding,2025-02-26,2025-02,1847.21,Canada,Cash,Google Search,Returning Customer
Jack Pollard,amy50@example.com,Product,2024-09-17,2024-09,672.7,United States,Cash,Google Search,Returning Customer
Tiffany Holloway,batesdarlene@example.net,Event,2024-07-17,2024-07,1117.57,United States,Credit Card,Google Search,New Customer
Gavin Zhang,caseyhubbard@example.org,Portrait,2025-03-29,2025-03,337.24,Canada,Cash,Google Search,New Customer
Crystal Schroeder,ramireztracey@example.org,Portrait,2024-11-08,2024-11,250.63,Canada,Apple Pay,Direct Visit,New Customer
Ashley Delacruz,alexistyler@example.org,Wedding,2024-10-22,2024-10,1559.79,Canada,Bank Transfer,Direct Visit,New Customer
Derek Martinez,vfox@example.org,Wedding,2024-11-09,2024-11,2942.87,United States,Bank Transfer,Direct Visit,New Customer
Kayla Rodriguez,soniawilliams@example.net,Real Estate,2024-09-29,2024-09,335.25,Canada,Bank Transfer,Instagram,Occasional Buyer
Victor Brown,bboone@example.net,Portrait,2024-10-15,2024-10,353.56,United States,Cash,Facebook,New Customer
Jill Lam,charlene12@example.com,Portrait,2024-05-17,2024-05,176.15,United States,Bank Transfer,Referral,Returning Customer
Michelle James,shawn96@example.org,Wedding,2024-11-22,2024-11,2917.79,United States,Cash,Google Search,New Customer
Matthew Rich,russellbeasley@example.com,Portrait,2025-01-23,2025-01,392.55,Canada,Apple Pay,Google Search,Returning Customer
Jason Davis,qedwards@example.com,Portrait,2024-08-10,2024-08,253.31,United States,Apple Pay,Facebook,Returning Customer
Kara Davis,daviscolin@example.net,Portrait,2025-03-23,2025-03,260.51,United States,PayPal,Facebook,Returning Customer
Anthony Frye,elizabeth65@example.net,Product,2024-08-22,2024-08,462.87,Canada,Credit Card,Google Search,Occasional Buyer
Thomas Williams,caroline51@example.net,Event,2025-03-18,2025-03,515.37,United States,Bank Transfer,Direct Visit,New Customer
John Boone,megan51@example.com,Portrait,2024-10-10,2024-10,206.18,United States,Cash,Google Search,Returning Customer
Sarah Villegas,lynchdiane@example.net,Wedding,2024-11-04,2024-11,2898.98,Canada,Apple Pay,Email Campaign,New Customer
Michael Parker,michael22@example.net,Real Estate,2024-07-14,2024-07,590.12,United States,Cash,Direct Visit,New Customer
Patrick Bonilla,reesejason@example.com,Wedding,2024-12-04,2024-12,2399.07,United States,Credit Card,Facebook,Business Client
Eric Nguyen,wareeric@example.net,Product,2024-09-21,2024-09,403.93,Canada,Credit Card,Facebook,Business Client
Jeremy Coleman,nperry@example.net,Real Estate,2024-04-26,2024-04,389.96,Canada,PayPal,Referral,Returning Customer
Douglas Gregory,trose@example.org,Portrait,2024-05-19,2024-05,287.98,Canada,Cash,Facebook,Business Client
Mrs. Christine Dougherty,kathrynroberts@example.org,Stock Photo License,2024-06-27,2024-06,36.94,Canada,PayPal,Referral,New Customer
Casey James,vincentwhitaker@example.com,Event,2024-04-10,2024-04,934.71,Canada,Cash,Email Campaign,Business Client
Amanda Smith,atkinsbarbara@example.net,Event,2024-05-04,2024-05,436.89,United States,PayPal,Direct Visit,Occasional Buyer
Donna Sullivan,george97@example.net,Portrait,2024-09-03,2024-09,175.09,Canada,Credit Card,Direct Visit,Occasional Buyer
Ryan Sanchez,zwarren@example.com,Wedding,2025-03-10,2025-03,1716.23,United States,Credit Card,Referral,Business Client
Richard Jones,schmidtjames@example.com,Wedding,2025-01-05,2025-01,2434.89,Canada,Credit Card,Facebook,Business Client
Maria Hernandez,thomasjames@example.net,Product,2024-08-14,2024-08,428.01,Canada,Cash,Direct Visit,New Customer
Angela Bean,kmarshall@example.net,Wedding,2024-06-02,2024-06,2446.74,Canada,PayPal,Email Campaign,New Customer
Kristy Reid,michelle52@example.com,Stock Photo License,2024-09-19,2024-09,63.02,United States,Cash,Instagram,Returning Customer
Eric Hill,bellcharles@example.com,Product,2024-05-02,2024-05,227.59,United States,Bank Transfer,Facebook,New Customer
Ronald Jones,gilbertwilliam@example.com,Wedding,2024-09-20,2024-09,2296.75,United States,PayPal,Instagram,New Customer
Nancy Williams,marcalvarez@example.org,Product,2024-11-06,2024-11,571.83,United States,Cash,Direct Visit,New Customer
Robert Monroe,wagnergerald@example.org,Portrait,2025-03-24,2025-03,213.49,Canada,Credit Card,Referral,Occasional Buyer
Kelly Bishop MD,paul59@example.org,Event,2024-12-22,2024-12,442.18,Canada,Bank Transfer,Direct Visit,New Customer
Andrea Davis,umitchell@example.net,Stock Photo License,2025-01-21,2025-01,59.52,Canada,Bank Transfer,Instagram,Occasional Buyer
Brittany Miller,sabrinacollins@example.net,Product,2025-03-26,2025-03,263.99,Canada,Apple Pay,Facebook,Returning Customer
Kurt Hurley,angelica52@example.net,Stock Photo License,2024-12-19,2024-12,39.76,Canada,Bank Transfer,Google Search,Returning Customer
Yolanda Gaines,lucasrodney@example.com,Event,2024-12-21,2024-12,970.2,United States,Apple Pay,Email Campaign,New Customer
Trevor Peterson,ilee@example.org,Product,2024-04-14,2024-04,371.72,United States,Apple Pay,Facebook,New Customer
Ashley Wise,stanleynancy@example.net,Wedding,2024-05-06,2024-05,1875.94,United States,Credit Card,Email Campaign,Returning Customer
Christopher Guerra,jenniferwilliams@example.com,Portrait,2024-05-25,2024-05,260.21,Canada,PayPal,Google Search,Occasional Buyer
Jeremy Mitchell,pyoung@example.com,Portrait,2024-12-11,2024-12,253.88,United States,PayPal,Direct Visit,Business Client
Stephanie Lee,smurray@example.com,Portrait,2025-03-27,2025-03,275.45,Canada,PayPal,Facebook,Occasional Buyer
Christopher Gonzalez,moniquewilliams@example.com,Product,2024-10-09,2024-10,780.43,Canada,Bank Transfer,Google Search,New Customer
Ashley Singleton,mitchellkathryn@example.com,Wedding,2025-02-21,2025-02,2631.23,United States,Cash,Direct Visit,New Customer
Sandra Davis,lisawilkerson@example.org,Real Estate,2024-09-19,2024-09,106.96,United States,Cash,Facebook,Returning Customer
James Hughes,brooksanthony@example.org,Event,2024-09-06,2024-09,826.1,Canada,Credit Card,Email Campaign,New Customer
Raven Taylor,samantha72@example.net,Wedding,2025-02-09,2025-02,2826.35,Canada,Apple Pay,Instagram,Returning Customer
Susan Smith,marydunn@example.net,Event,2024-09-26,2024-09,717.84,Canada,Cash,Google Search,New Customer
Ricardo Young,williamsrobert@example.net,Product,2024-11-16,2024-11,382.62,Canada,Credit Card,Google Search,New Customer
Taylor Carlson,chenbailey@example.net,Portrait,2024-09-22,2024-09,247.16,Canada,Apple Pay,Referral,Returning Customer
Lucas Allen,qlopez@example.org,Event,2024-05-30,2024-05,1096.87,United States,Cash,Direct Visit,New Customer
Troy Stephens,myerstheodore@example.net,Stock Photo License,2024-10-16,2024-10,26.64,Canada,PayPal,Referral,New Customer
Paul Kelly,cooperjessica@example.net,Wedding,2024-08-27,2024-08,2044.03,Canada,Apple Pay,Email Campaign,New Customer
Nicole Anderson,amy27@example.net,Portrait,2024-05-15,2024-05,197.45,United States,Cash,Google Search,Returning Customer
Chad Baldwin,mjohnson@example.org,Event,2024-09-30,2024-09,837.43,United States,Credit Card,Facebook,New Customer
Emily Collins,ihays@example.com,Wedding,2025-01-22,2025-01,2346.87,United States,Apple Pay,Instagram,Returning Customer
Cheryl Kelly,glennmartin@example.org,Real Estate,2024-07-09,2024-07,216.5,United States,Apple Pay,Google Search,New Customer
James Gonzales,lmorgan@example.com,Stock Photo License,2025-01-25,2025-01,74.38,Canada,PayPal,Google Search,Returning Customer
Robert Adams,acostachristian@example.net,Wedding,2024-12-17,2024-12,1522.29,United States,Apple Pay,Facebook,New Customer
Edward Garcia,donna47@example.net,Wedding,2025-04-07,2025-04,1690.14,Canada,Apple Pay,Google Search,Business Client
Jeremy West,christina64@example.net,Portrait,2024-12-26,2024-12,344.5,United States,Cash,Direct Visit,New Customer
Angela Walsh,william20@example.org,Event,2025-04-01,2025-04,954.52,Canada,Cash,Email Campaign,Occasional Buyer
Jessica Martinez,kimberlydiaz@example.com,Wedding,2025-02-12,2025-02,2218.47,Canada,Cash,Email Campaign,New Customer
Christian Cole,nathan19@example.org,Event,2025-03-21,2025-03,699.21,United States,Bank Transfer,Direct Visit,New Customer
Matthew Wright,johnsonjacob@example.net,Wedding,2024-10-18,2024-10,2436.48,Canada,Cash,Direct Visit,Returning Customer
Deborah Green,nlewis@example.com,Portrait,2024-08-27,2024-08,301.36,United States,Credit Card,Email Campaign,Returning Customer
Mrs. Brandy Jones MD,zosborn@example.net,Real Estate,2024-12-17,2024-12,460.42,United States,Cash,Referral,Business Client
Miss Michelle Pierce,patricia22@example.com,Portrait,2025-03-28,2025-03,356.85,Canada,Cash,Email Campaign,New Customer
Curtis Taylor,jjohnson@example.net,Portrait,2024-10-11,2024-10,316.28,Canada,PayPal,Email Campaign,Occasional Buyer
Kristen Salazar,jonesraymond@example.net,Wedding,2024-08-21,2024-08,2747.66,United States,Cash,Google Search,Business Client
Patricia Morrow,martinezlogan@example.org,Portrait,2024-12-27,2024-12,182.53,United States,Apple Pay,Direct Visit,Returning Customer
Haley Humphrey,katrinaanderson@example.net,Event,2024-09-19,2024-09,669.73,Canada,Credit Card,Facebook,Returning Customer
Caleb Hernandez,fernandodonovan@example.org,Portrait,2025-03-07,2025-03,294.48,United States,PayPal,Email Campaign,New Customer
Stephanie Singleton,james84@example.org,Real Estate,2024-08-12,2024-08,275.06,Canada,Credit Card,Facebook,Returning Customer
Anna Davidson,georgeweber@example.net,Real Estate,2024-11-22,2024-11,522.58,United States,Apple Pay,Email Campaign,Business Client
Amanda Shields,williamsdarlene@example.net,Wedding,2024-08-09,2024-08,1770.62,Canada,Bank Transfer,Facebook,New Customer
Kenneth Montgomery,jimenezcourtney@example.com,Product,2024-07-13,2024-07,539.79,Canada,Credit Card,Instagram,Business Client
David Aguirre,eevans@example.net,Stock Photo License,2024-11-28,2024-11,29.59,United States,Cash,Referral,New Customer
John Harris,larryhiggins@example.net,Wedding,2024-04-29,2024-04,1967.46,Canada,Apple Pay,Direct Visit,New Customer
James Hodges,floressteven@example.com,Wedding,2025-04-04,2025-04,1736.11,United States,Credit Card,Facebook,New Customer
Anthony Dougherty,kwright@example.com,Portrait,2024-09-19,2024-09,301.77,Canada,Bank Transfer,Instagram,Business Client
Cheryl Moore,tjimenez@example.com,Wedding,2025-03-15,2025-03,2144.87,Canada,Apple Pay,Referral,Returning Customer
Kathy Levy,brandywilliams@example.com,Portrait,2024-04-16,2024-04,205.13,United States,Credit Card,Instagram,New Customer
Martha Ruiz,booneryan@example.com,Wedding,2024-10-06,2024-10,1705.85,Canada,Bank Transfer,Facebook,New Customer
Holly Morales,michaelroberts@example.com,Portrait,2024-12-30,2024-12,257.66,United States,Cash,Direct Visit,Business Client
Diana Hays,andersoncolin@example.com,Portrait,2024-10-09,2024-10,358.34,Canada,Credit Card,Referral,Business Client
Todd Fischer,carriemorales@example.org,Wedding,2025-01-23,2025-01,1528.11,United States,Bank Transfer,Direct Visit,New Customer
Gary Wells,ghernandez@example.org,Portrait,2024-04-24,2024-04,310.04,Canada,Credit Card,Referral,New Customer
Carla Ewing,brittney88@example.net,Portrait,2024-08-06,2024-08,350.33,Canada,Bank Transfer,Google Search,New Customer
Karen Smith,emily69@example.com,Wedding,2024-10-04,2024-10,2153.51,Canada,Apple Pay,Google Search,New Customer
Melissa Johnson,pbaker@example.net,Portrait,2025-01-24,2025-01,234.88,Canada,PayPal,Google Search,Returning Customer
Lauren Jackson,rhernandez@example.org,Wedding,2024-11-05,2024-11,2264.93,Canada,Bank Transfer,Email Campaign,Occasional Buyer
Ashley Smith,robert63@example.com,Event,2024-04-19,2024-04,432.92,United States,PayPal,Facebook,New Customer
Kaitlyn Charles,thorntonapril@example.net,Event,2024-10-08,2024-10,984.19,United States,PayPal,Email Campaign,New Customer
Kelly Edwards,stevepatel@example.net,Real Estate,2024-08-04,2024-08,479.94,Canada,Apple Pay,Email Campaign,Returning Customer
Michelle Schneider,chelsea33@example.com,Event,2024-08-15,2024-08,1077.82,Canada,PayPal,Referral,New Customer
William Evans,janet75@example.com,Portrait,2024-10-29,2024-10,225.71,Canada,Apple Pay,Google Search,New Customer
Rebecca Hill,berryamy@example.com,Wedding,2024-08-13,2024-08,2192.61,United States,Credit Card,Facebook,Business Client
Regina Roberts,stephanie15@example.com,Wedding,2025-02-01,2025-02,2796.38,United States,Apple Pay,Direct Visit,Returning Customer
Cindy Clayton,sarah42@example.org,Portrait,2024-12-04,2024-12,288.58,United States,Cash,Direct Visit,Returning Customer
Dana Santiago,danawilliams@example.com,Portrait,2024-11-19,2024-11,268.91,United States,Credit Card,Referral,New Customer
Michael Taylor,richarddonovan@example.com,Product,2024-08-06,2024-08,406.06,United States,Apple Pay,Email Campaign,New Customer
