Customer Name,Email,Photo Type,Purchase Date,Month,City,Region,Country,Price USD,Payment Method,Referral Source,Customer Segment
Crystal Schroeder,ramireztracey@example.org,Wedding,2024-11-08,2024-11,Little Rock,Arkansas,United States,1736.66,PayPal,Facebook,Business Client
Ashley Delacruz,alexistyler@example.org,Portrait,2024-10-22,2024-10,Kansas City,Missouri,United States,173.76,Bank Transfer,Google Search,New Customer
Derek Martinez,vfox@example.org,Wedding,2024-11-09,2024-11,Buffalo,New York,United States,3254.05,Credit Card,Instagram,Occasional Buyer
Kayla Rodriguez,soniawilliams@example.net,Portrait,2024-09-29,2024-09,Albany,New York,United States,333.97,Apple Pay,Email Campaign,New Customer
Victor Brown,bboone@example.net,Real Estate,2024-10-15,2024-10,Orlando,Florida,United States,531.16,Cash,Google Search,New Customer
Jill Lam,charlene12@example.com,Wedding,2024-05-17,2024-05,Seattle,Washington,United States,2421.72,Apple Pay,Referral,Occasional Buyer
Michelle James,shawn96@example.org,Wedding,2024-11-22,2024-11,Calgary,Alberta,Canada,2865.11,Cash,Google Search,New Customer
Matthew Rich,russellbeasley@example.com,Real Estate,2025-01-23,2025-01,Calgary,Alberta,Canada,415.6,Apple Pay,Facebook,New Customer
Jason Davis,qedwards@example.com,Wedding,2024-08-10,2024-08,Idaho Falls,Idaho,United States,1985.63,Cash,Referral,New Customer
Kara Davis,daviscolin@example.net,Portrait,2025-03-23,2025-03,Los Angeles,California,United States,247.33,Bank Transfer,Email Campaign,Business Client
Anthony Frye,elizabeth65@example.net,Event,2024-08-22,2024-08,Fredericton,New Brunswick,Canada,766.25,PayPal,Google Search,Returning Customer
Thomas Williams,caroline51@example.net,Wedding,2025-03-18,2025-03,Miami,Florida,United States,1765.57,Apple Pay,Referral,Business Client
John Boone,megan51@example.com,Product,2024-10-10,2024-10,Spokane,Washington,United States,948.22,Bank Transfer,Facebook,New Customer
Sarah Villegas,lynchdiane@example.net,Product,2024-11-04,2024-11,Idaho Falls,Idaho,United States,607.98,Apple Pay,Facebook,Business Client
Michael Parker,michael22@example.net,Real Estate,2024-07-14,2024-07,Winnipeg,Manitoba,Canada,315.09,Bank Transfer,Referral,New Customer
Patrick Bonilla,reesejason@example.com,Portrait,2024-12-04,2024-12,Chicago,Illinois,United States,263.75,Apple Pay,Facebook,Business Client
Eric Nguyen,wareeric@example.net,Portrait,2024-09-21,2024-09,Springfield,Illinois,United States,179.34,Credit Card,Google Search,New Customer
Jeremy Coleman,nperry@example.net,Portrait,2024-04-26,2024-04,Quebec City,Quebec,Canada,262.39,Bank Transfer,Email Campaign,Business Client
Douglas Gregory,trose@example.org,Portrait,2024-05-19,2024-05,Seattle,Washington,United States,417.07,PayPal,Instagram,New Customer
Mrs. Christine Dougherty,kathrynroberts@example.org,Wedding,2024-06-27,2024-06,Springfield,Illinois,United States,2983.47,Credit Card,Instagram,Returning Customer
Casey James,vincentwhitaker@example.com,Portrait,2024-04-10,2024-04,Springfield,Illinois,United States,237.22,Cash,Google Search,Business Client
Amanda Smith,atkinsbarbara@example.net,Product,2024-05-04,2024-05,Little Rock,Arkansas,United States,656.46,Cash,Google Search,New Customer
Donna Sullivan,george97@example.net,Wedding,2024-09-03,2024-09,Cambridge,Massachusetts,United States,3181.55,Cash,Referral,Business Client
Ryan Sanchez,zwarren@example.com,Wedding,2025-03-10,2025-03,Kansas City,Missouri,United States,2109.17,Apple Pay,Direct Visit,Business Client
Richard Jones,schmidtjames@example.com,Portrait,2025-01-05,2025-01,Boston,Massachusetts,United States,356.77,Cash,Google Search,Returning Customer
Maria Hernandez,thomasjames@example.net,Stock Photo License,2024-08-14,2024-08,Seattle,Washington,United States,37.39,Apple Pay,Direct Visit,New Customer
Angela Bean,kmarshall@example.net,Portrait,2024-06-02,2024-06,San Francisco,California,United States,450.3,PayPal,Facebook,New Customer
Kristy Reid,michelle52@example.com,Real Estate,2024-09-19,2024-09,Miami,Florida,United States,207.84,Apple Pay,Instagram,New Customer
Eric Hill,bellcharles@example.com,Real Estate,2024-05-02,2024-05,Boston,Massachusetts,United States,691.16,Cash,Direct Visit,Occasional Buyer
Ronald Jones,gilbertwilliam@example.com,Product,2024-09-20,2024-09,Tampa,Florida,United States,439.3,Bank Transfer,Email Campaign,New Customer
Nancy Williams,marcalvarez@example.org,Portrait,2024-11-06,2024-11,Idaho Falls,Idaho,United States,157.37,Bank Transfer,Google Search,New Customer
Robert Monroe,wagnergerald@example.org,Wedding,2025-03-24,2025-03,Seattle,Washington,United States,2488.57,Bank Transfer,Facebook,Returning Customer
Kelly Bishop MD,paul59@example.org,Portrait,2024-12-22,2024-12,Edmonton,Alberta,Canada,344.97,Bank Transfer,Instagram,New Customer
Andrea Davis,umitchell@example.net,Wedding,2025-01-21,2025-01,Winnipeg,Manitoba,Canada,1736.69,Bank Transfer,Instagram,Returning Customer
Brittany Miller,sabrinacollins@example.net,Portrait,2025-03-26,2025-03,Orlando,Florida,United States,398.34,PayPal,Facebook,New Customer
Kurt Hurley,angelica52@example.net,Event,2024-12-19,2024-12,Idaho Falls,Idaho,United States,742.72,Cash,Direct Visit,New Customer
Yolanda Gaines,lucasrodney@example.com,Event,2024-12-21,2024-12,Los Angeles,California,United States,1387.03,PayPal,Google Search,New Customer
Trevor Peterson,ilee@example.org,Product,2024-04-14,2024-04,Seattle,Washington,United States,306.98,Bank Transfer,Direct Visit,New Customer
Ashley Wise,stanleynancy@example.net,Real Estate,2024-05-06,2024-05,Tampa,Florida,United States,430.92,Apple Pay,Referral,Returning Customer
Christopher Guerra,jenniferwilliams@example.com,Wedding,2024-05-25,2024-05,Victoria,British Columbia,Canada,3235.64,Credit Card,Facebook,Business Client
Jeremy Mitchell,pyoung@example.com,Real Estate,2024-12-11,2024-12,Halifax,Nova Scotia,Canada,158.81,Credit Card,Referral,Occasional Buyer
Stephanie Lee,smurray@example.com,Wedding,2025-03-27,2025-03,Springfield,Illinois,United States,1512.51,PayPal,Instagram,Returning Customer
Christopher Gonzalez,moniquewilliams@example.com,Wedding,2024-10-09,2024-10,Seattle,Washington,United States,1941.44,Credit Card,Instagram,Returning Customer
Ashley Singleton,mitchellkathryn@example.com,Product,2025-02-21,2025-02,New York City,New York,United States,345.94,PayPal,Email Campaign,Business Client
Sandra Davis,lisawilkerson@example.org,Portrait,2024-09-19,2024-09,Ottawa,Ontario,Canada,289.97,Bank Transfer,Google Search,New Customer
James Hughes,brooksanthony@example.org,Event,2024-09-06,2024-09,Little Rock,Arkansas,United States,787.58,Credit Card,Facebook,New Customer
Raven Taylor,samantha72@example.net,Event,2025-02-09,2025-02,Spokane,Washington,United States,379.34,Credit Card,Facebook,New Customer
Susan Smith,marydunn@example.net,Wedding,2024-09-26,2024-09,Little Rock,Arkansas,United States,1492.79,Credit Card,Instagram,Business Client
Ricardo Young,williamsrobert@example.net,Wedding,2024-11-16,2024-11,Spokane,Washington,United States,2777.14,PayPal,Instagram,New Customer
Taylor Carlson,chenbailey@example.net,Wedding,2024-09-22,2024-09,Halifax,Nova Scotia,Canada,1578.33,Apple Pay,Instagram,New Customer
Lucas Allen,qlopez@example.org,Wedding,2024-05-30,2024-05,San Francisco,California,United States,1958.27,Bank Transfer,Facebook,New Customer
Troy Stephens,myerstheodore@example.net,Portrait,2024-10-16,2024-10,Miami,Florida,United States,168.87,Apple Pay,Facebook,Returning Customer
Paul Kelly,cooperjessica@example.net,Wedding,2024-08-27,2024-08,Seattle,Washington,United States,1879.72,Credit Card,Direct Visit,New Customer
Nicole Anderson,amy27@example.net,Wedding,2024-05-15,2024-05,Seattle,Washington,United States,2032.43,Credit Card,Direct Visit,New Customer
Chad Baldwin,mjohnson@example.org,Portrait,2024-09-30,2024-09,Boise,Idaho,United States,280.69,PayPal,Instagram,New Customer
Emily Collins,ihays@example.com,Real Estate,2025-01-22,2025-01,Little Rock,Arkansas,United States,438.32,Apple Pay,Email Campaign,Business Client
Cheryl Kelly,glennmartin@example.org,Portrait,2024-07-09,2024-07,Halifax,Nova Scotia,Canada,253.6,Credit Card,Facebook,Returning Customer
James Gonzales,lmorgan@example.com,Real Estate,2025-01-25,2025-01,Edmonton,Alberta,Canada,138.66,PayPal,Direct Visit,Returning Customer
Robert Adams,acostachristian@example.net,Stock Photo License,2024-12-17,2024-12,Little Rock,Arkansas,United States,59.67,Cash,Facebook,Business Client
Edward Garcia,donna47@example.net,Product,2025-04-07,2025-04,Buffalo,New York,United States,455.3,Cash,Instagram,Returning Customer
Jeremy West,christina64@example.net,Event,2024-12-26,2024-12,Dallas,Texas,United States,765.42,Apple Pay,Instagram,Returning Customer
Angela Walsh,william20@example.org,Event,2025-04-01,2025-04,Little Rock,Arkansas,United States,435.26,Cash,Email Campaign,Business Client
Jessica Martinez,kimberlydiaz@example.com,Wedding,2025-02-12,2025-02,Springfield,Illinois,United States,1958.57,Bank Transfer,Facebook,Returning Customer
Christian Cole,nathan19@example.org,Event,2025-03-21,2025-03,Seattle,Washington,United States,1296.37,Bank Transfer,Referral,New Customer
Matthew Wright,johnsonjacob@example.net,Wedding,2024-10-18,2024-10,Fredericton,New Brunswick,Canada,1936.12,Credit Card,Instagram,Returning Customer
Deborah Green,nlewis@example.com,Product,2024-08-27,2024-08,Orlando,Florida,United States,588.36,Bank Transfer,Instagram,New Customer
Mrs. Brandy Jones MD,zosborn@example.net,Event,2024-12-17,2024-12,Boston,Massachusetts,United States,1138.68,Apple Pay,Facebook,New Customer
Miss Michelle Pierce,patricia22@example.com,Wedding,2025-03-28,2025-03,Kansas City,Missouri,United States,1804.38,Bank Transfer,Instagram,New Customer
