Customer Name,Email,Photo Type,Purchase Date,Price USD,City,State/Province,Country,Payment Method,Shoot Day,Shoot Time
Joshua Taylor,patrickhernandez@example.org,Real Estate,2024-05-01,318.66,Jimmymouth,Quebec,Canada,e-Transfer,Wednesday,09:30
Daniel Fisher,gateskathy@example.com,Event,2024-09-29,417.79,Riveramouth,Nova Scotia,Canada,Credit Card,Saturday,15:00
Tiffany Barnes,tracynelson@example.com,Wedding,2024-04-18,2254.06,Kennethfurt,Missouri,United States,PayPal,Sunday,11:00
Sara Calhoun,meadowsbrittany@example.net,Real Estate,2024-04-17,220.78,Elizabethfurt,Virginia,United States,Venmo,Wednesday,09:30
David Murphy,wmurphy@example.com,Engagement,2024-07-18,331.46,Taylormouth,Manitoba,Canada,Credit Card,Friday,17:00
Paul Williams,jeffrey10@example.org,Headshot,2025-03-21,304.28,Kingland,Illinois,United States,Venmo,Wednesday,17:00
Cameron Caldwell,stevenscott@example.com,Wedding,2024-06-08,3246.34,Port Andrew,British Columbia,Canada,PayPal,Friday,14:00
Alexander Collins,tsanders@example.org,Headshot,2024-05-05,185.72,Port Loriport,British Columbia,Canada,Credit Card,Wednesday,17:00
Michael Trujillo,reedross@example.com,Wedding,2024-05-03,2658.85,North Heidi,New Jersey,United States,PayPal,Friday,11:00
Ashley Yu,bzimmerman@example.org,Headshot,2025-01-01,344.95,Alexanderchester,Manitoba,Canada,Cash,Tuesday,17:00
Julie Petersen,marcus31@example.com,Real Estate,2025-02-24,123.67,Christinaside,Missouri,United States,Credit Card,Monday,13:30
Jamie Johnson,hunter35@example.com,Product,2024-08-10,316.15,Port Steven,Quebec,Canada,Credit Card,Friday,10:00
Angela Cortez,ppeters@example.net,Portrait (Studio),2024-09-29,241.16,Angelahaven,Georgia,United States,Credit Card,Monday,15:00
Daniel Holt,elizabeth57@example.net,Portrait (Studio),2024-10-19,345.03,Westtown,Georgia,United States,PayPal,Thursday,17:00
Michael Nelson,jerry35@example.org,Product,2025-01-04,514.85,Barajasside,New Jersey,United States,e-Transfer,Thursday,10:00
Dr. William Warren,tina34@example.org,Product,2024-08-18,451.46,East Javier,New York,United States,e-Transfer,Tuesday,12:00
Angel Brown,heidi27@example.org,Product,2025-02-21,167.43,Alexisside,Massachusetts,United States,Venmo,Thursday,10:00
Vincent King,ewilson@example.com,Portrait (Studio),2024-10-04,355.13,Taylormouth,Ohio,United States,e-Transfer,Tuesday,11:00
Angela Wright,yobrien@example.net,Portrait (Studio),2024-06-29,219.65,East Edwardshire,Saskatchewan,Canada,Cash,Monday,15:00
Kevin Patterson,lynchjody@example.org,Headshot,2024-11-22,345.29,Hayesmouth,New York,United States,Venmo,Friday,15:00
Juan Moore,mhayes@example.com,Engagement,2024-07-23,374.18,Donnaburgh,Wisconsin,United States,e-Transfer,Wednesday,11:00
Jordan Mcdaniel,kristin93@example.com,Portrait (Studio),2024-05-20,332.14,West Jasmine,Washington,United States,Cash,Wednesday,15:00
Charles Brown,brooke94@example.com,Engagement,2024-05-23,276.42,Lake Edward,Virginia,United States,e-Transfer,Thursday,11:00
Katherine Miller,prestonjessica@example.net,Wedding,2024-07-08,3382.41,Hollyview,Michigan,United States,Cash,Sunday,17:00
Alicia Hubbard,barbara27@example.net,Portrait (Studio),2024-12-02,316.72,East Suzanneshire,Manitoba,Canada,PayPal,Wednesday,15:00
Robert Costa,vbailey@example.com,Engagement,2024-12-09,326.13,Howardshire,Wisconsin,United States,Cash,Thursday,17:00
Matthew Morales DDS,gibsonleonard@example.com,Portrait (Studio),2024-05-20,251.52,West Robert,Quebec,Canada,Cash,Monday,15:00
Kimberly Gutierrez,aprildean@example.com,Product,2024-11-22,410.99,Hancocktown,Alberta,Canada,PayPal,Wednesday,12:00
Jessica Wolfe,johnsoncrystal@example.org,Real Estate,2024-12-23,299.81,East Josephberg,Michigan,United States,Cash,Tuesday,13:30
Danny Skinner,murraydavid@example.org,Headshot,2024-10-07,258.24,Andreaside,Michigan,United States,PayPal,Wednesday,11:00
John Kennedy,yarnold@example.org,Product,2025-03-11,239.61,Williamview,Tennessee,United States,Cash,Monday,10:00
Sarah Morgan,lori44@example.net,Product,2024-11-06,495.82,Port Chad,Washington,United States,e-Transfer,Thursday,12:00
Haley Arnold,ugibson@example.org,Event,2025-04-01,519.59,Grimesmouth,Quebec,Canada,PayPal,Thursday,12:00
Jennifer Flores,zthornton@example.com,Product,2024-08-27,581.08,New Patrick,Missouri,United States,PayPal,Friday,12:00
Vincent Rivera,sawyerscott@example.net,Product,2025-03-07,204.61,South Tammie,Nova Scotia,Canada,Cash,Tuesday,12:00
Richard Baker,vsantos@example.net,Real Estate,2025-02-16,429.7,Lake Douglasberg,Quebec,Canada,Cash,Friday,11:00
Amanda Jones,wendy16@example.org,Event,2025-01-11,533.27,Finleyfort,Nova Scotia,Canada,Cash,Friday,19:00
Amber Flynn,michael62@example.org,Headshot,2024-10-19,159.81,South Garrettport,Quebec,Canada,e-Transfer,Thursday,11:00
Janet Vega,jdurham@example.org,Portrait (Studio),2024-09-23,229.93,East Gregory,Illinois,United States,PayPal,Friday,11:00
Julie Roberts,charleslandry@example.net,Event,2024-07-26,924.55,Stevetown,Alberta,Canada,e-Transfer,Friday,12:00
Christina Cruz,yrodriguez@example.net,Real Estate,2024-08-17,297.05,Vaughnmouth,Alberta,Canada,Credit Card,Monday,09:30
Ronald Foster,knightgina@example.net,Product,2025-03-30,546.3,Victoriaport,Ontario,Canada,e-Transfer,Friday,12:00
Crystal Pham,danaoliver@example.net,Portrait (Studio),2025-01-09,338.37,Wallport,Tennessee,United States,PayPal,Thursday,17:00
Amanda Kramer,rileyjessica@example.org,Portrait (Studio),2025-03-06,258.96,Lake Colton,Saskatchewan,Canada,Cash,Monday,15:00
Richard Walter,alyssa42@example.com,Headshot,2025-03-08,141.26,Julieburgh,Washington,United States,Cash,Thursday,11:00
Gina Wilson,taylortammy@example.net,Real Estate,2024-12-29,371.94,Coffeyport,Quebec,Canada,Cash,Monday,13:30
Richard Smith,gibsonemily@example.net,Engagement,2024-07-12,215.09,Coffeyside,Massachusetts,United States,Venmo,Thursday,15:00
David Johnson,rose31@example.net,Portrait (Studio),2025-02-03,340.31,Carsonstad,British Columbia,Canada,Credit Card,Thursday,15:00
Tracy Torres,pwilson@example.net,Event,2024-05-27,317.44,Debraville,Florida,United States,Credit Card,Thursday,15:00
Patrick Moore,fpena@example.net,Product,2024-09-04,163.96,Watsonside,Wisconsin,United States,PayPal,Tuesday,10:00
Jeremy Young,cory58@example.net,Engagement,2024-08-17,237.87,Antoniostad,Massachusetts,United States,Venmo,Monday,17:00
Samantha Davis,darleneharper@example.org,Product,2024-04-26,316.0,Hillville,Pennsylvania,United States,Venmo,Friday,14:00
Christine Gallegos,brendali@example.org,Wedding,2024-08-06,2530.97,Johnberg,Saskatchewan,Canada,PayPal,Sunday,19:00
Scott Thomas,amberlindsey@example.org,Wedding,2024-12-05,2561.83,Port Rachel,Michigan,United States,Cash,Friday,14:00
Alexis Baker,judyfox@example.net,Product,2024-05-01,204.47,East Alexisbury,Manitoba,Canada,Cash,Friday,10:00
Jodi Walker,acostaregina@example.net,Headshot,2024-10-15,192.64,Stricklandhaven,Ontario,Canada,Cash,Friday,17:00
John Morales,henryrenee@example.org,Product,2025-03-03,370.59,Schneidertown,Saskatchewan,Canada,PayPal,Thursday,12:00
Marcus Richards,oscar98@example.com,Event,2024-09-21,458.52,Charleneland,Alberta,Canada,Cash,Saturday,19:00
Marilyn Mack,russellbeasley@example.com,Product,2024-08-10,478.96,Garciaville,Florida,United States,Venmo,Wednesday,12:00
Erik Scott,gloriawells@example.org,Event,2025-02-06,519.48,Rossville,British Columbia,Canada,Credit Card,Sunday,19:00
Kristie Willis,elizabeth65@example.net,Event,2025-03-18,1065.86,South Colinstad,Virginia,United States,Venmo,Friday,15:00
Lindsay Bell,ericolson@example.org,Portrait (Studio),2024-08-14,219.91,Parrishton,Manitoba,Canada,Credit Card,Friday,17:00
Renee Bruce,lynchdiane@example.net,Real Estate,2024-07-14,480.26,Dannyview,Alberta,Canada,PayPal,Monday,09:30
Gerald Smith,ashleymorales@example.org,Headshot,2025-01-04,219.02,West Jacqueline,Florida,United States,Venmo,Thursday,15:00
Jesse Moore,jennifer99@example.org,Engagement,2025-02-25,321.32,North Julieborough,Alberta,Canada,e-Transfer,Tuesday,15:00
Brad Ramos,ctucker@example.com,Event,2024-07-16,1196.97,East Karen,British Columbia,Canada,e-Transfer,Saturday,15:00
Leslie Rose,brandon69@example.org,Portrait (Studio),2024-04-10,207.63,West Russellport,Missouri,United States,PayPal,Tuesday,15:00
Donna Wilson,lburgess@example.org,Engagement,2024-08-25,264.92,Sierraberg,Ontario,Canada,PayPal,Thursday,15:00
Heather Sanders,grahamsteve@example.org,Portrait (Studio),2025-02-17,206.87,New Angelica,Missouri,United States,PayPal,Tuesday,15:00
Jared Burch,lauriemontgomery@example.net,Portrait (Studio),2025-03-10,161.38,Berrychester,Saskatchewan,Canada,PayPal,Monday,17:00
James Miller,julie35@example.org,Headshot,2024-05-05,317.12,South Meganbury,Maryland,United States,Venmo,Thursday,11:00
Tyler Brewer,joelthomas@example.org,Event,2024-06-10,730.84,New Williamstad,North Carolina,United States,e-Transfer,Saturday,12:00
Trevor Burton,wwebster@example.net,Wedding,2024-09-19,3090.87,Port Katherine,Illinois,United States,PayPal,Saturday,11:00
Barry Ramos,laura90@example.com,Product,2024-10-10,403.28,Michellemouth,New York,United States,Cash,Wednesday,10:00
Ronald Jones,gilbertwilliam@example.com,Product,2024-11-06,337.28,Steventon,Indiana,United States,e-Transfer,Friday,14:00
Erica Alvarez,susanhayes@example.com,Event,2025-04-02,1117.65,South Reginashire,British Columbia,Canada,Credit Card,Saturday,19:00
Jeffrey Gonzales,michaelhardin@example.com,Real Estate,2024-09-04,484.84,New Debbieton,North Carolina,United States,Credit Card,Monday,09:30
Maria Jones,grantpaul@example.com,Engagement,2024-12-28,271.96,Erikaton,California,United States,e-Transfer,Friday,11:00
Sydney Collins,tanderson@example.org,Event,2024-07-30,920.43,West Christopher,Georgia,United States,Venmo,Sunday,15:00
Meagan Calderon,lucasrodney@example.com,Headshot,2024-04-14,170.68,Schneidermouth,North Carolina,United States,Cash,Thursday,11:00
Ralph Lee,ericphillips@example.org,Headshot,2024-10-10,300.98,Henryborough,Missouri,United States,PayPal,Tuesday,15:00
Brittany White,jenniferwilliams@example.com,Headshot,2024-12-11,137.25,Lake Matthewberg,Texas,United States,PayPal,Wednesday,11:00
Rachel Young,kylestokes@example.com,Product,2025-03-04,288.43,South Cheryl,Ontario,Canada,Cash,Friday,12:00
Jessica Hammond,ashaw@example.org,Headshot,2025-01-31,176.02,West Erika,Alberta,Canada,Credit Card,Thursday,15:00
Shelly Spencer,dawsonzachary@example.org,Real Estate,2024-07-21,135.15,Port John,Manitoba,Canada,e-Transfer,Thursday,13:30
Sandra Davis,lisawilkerson@example.org,Wedding,2024-09-06,1410.05,West Shannon,Manitoba,Canada,Credit Card,Sunday,11:00
Brad Walker,sarah52@example.org,Product,2024-04-22,490.32,Shawbury,British Columbia,Canada,PayPal,Thursday,14:00
Julie Gilbert,smithjason@example.org,Real Estate,2024-10-25,285.64,Hortonberg,British Columbia,Canada,Cash,Thursday,09:30
Bryan Allen,fbrown@example.net,Portrait (Studio),2024-10-21,230.26,Rodriguezport,Alberta,Canada,Cash,Monday,11:00
Lucas Allen,qlopez@example.org,Portrait (Studio),2024-10-16,315.65,Lake Douglas,Massachusetts,United States,Credit Card,Thursday,17:00
Rachel Romero,myerstheodore@example.net,Portrait (Studio),2024-08-27,213.1,Carloshaven,Missouri,United States,e-Transfer,Monday,15:00
Austin Allen,ingramjill@example.com,Event,2024-05-26,348.78,Jontown,Saskatchewan,Canada,Cash,Saturday,19:00
Melinda Pollard,zwelch@example.org,Product,2024-05-01,173.23,Amyburgh,Michigan,United States,e-Transfer,Wednesday,14:00
Curtis Williams,zachary87@example.com,Headshot,2024-04-21,221.18,Johnsonborough,Pennsylvania,United States,Venmo,Monday,17:00
Sharon Rivera,lloydsamuel@example.com,Real Estate,2025-01-05,125.2,West Michael,New York,United States,e-Transfer,Thursday,09:30
Jonathan Glass MD,acostachristian@example.net,Wedding,2025-04-07,2689.73,Morganburgh,Alberta,Canada,Cash,Saturday,17:00
Garrett Phillips,bmorrison@example.org,Event,2024-12-16,519.36,New Kelly,Wisconsin,United States,Cash,Friday,15:00
Jessica Fowler,jonesdana@example.com,Headshot,2024-10-12,319.83,Sergiostad,British Columbia,Canada,e-Transfer,Monday,15:00
Rachael Johnson,youngdeanna@example.com,Product,2024-08-26,151.15,North Douglas,Nova Scotia,Canada,PayPal,Wednesday,14:00
Jacqueline Hines,alyssasanders@example.net,Event,2024-07-19,784.72,New Ericmouth,Alberta,Canada,e-Transfer,Saturday,15:00
Susan Wilson,jane39@example.com,Product,2024-12-17,234.89,North Jillfort,Quebec,Canada,Cash,Tuesday,14:00
Jodi Roach,zosborn@example.net,Wedding,2025-03-28,1931.81,Gonzalezberg,Saskatchewan,Canada,PayPal,Saturday,19:00
Donna Evans,jenniferho@example.net,Event,2024-06-10,1168.34,Elizabethland,Nova Scotia,Canada,Credit Card,Friday,19:00
Dr. Cynthia Snyder,angela57@example.net,Product,2024-05-25,530.27,Williamville,Ontario,Canada,PayPal,Monday,14:00
Patricia Morrow,martinezlogan@example.org,Event,2024-09-19,1083.84,North Kylefort,Nova Scotia,Canada,e-Transfer,Friday,12:00
Catherine Burch,dshaw@example.org,Portrait (Studio),2024-10-14,305.81,Davidside,New Jersey,United States,Cash,Thursday,17:00
Courtney Meza,meghan43@example.net,Event,2025-03-24,1158.73,Fredmouth,Wisconsin,United States,Credit Card,Sunday,19:00
Anna Davidson,georgeweber@example.net,Engagement,2024-08-09,389.35,Davidport,Arizona,United States,Credit Card,Wednesday,11:00
Martin Ray,katiebutler@example.net,Product,2024-04-19,435.19,Port Michelleland,Michigan,United States,Credit Card,Monday,12:00
Dr. Michael Evans,barkereric@example.com,Wedding,2024-10-02,1946.06,Dawnport,Alberta,Canada,PayPal,Saturday,17:00
Nathan Gross,theresa25@example.net,Engagement,2024-10-30,359.35,West Catherine,Pennsylvania,United States,PayPal,Friday,17:00
David Davis,sonia96@example.org,Wedding,2025-03-26,2601.83,Johnville,Manitoba,Canada,PayPal,Saturday,14:00
Emily Hines,dferrell@example.com,Engagement,2025-02-23,338.34,Port Mark,Saskatchewan,Canada,Credit Card,Wednesday,15:00
Tracy Lewis,brandon47@example.net,Product,2025-02-24,359.36,Johnsonfurt,Florida,United States,e-Transfer,Wednesday,14:00
Jessica Khan,kathryn50@example.com,Portrait (Studio),2024-04-26,396.91,Mitchelltown,Saskatchewan,Canada,e-Transfer,Wednesday,17:00
Jonathan Duran,marcia99@example.org,Event,2024-05-25,1060.77,West Angela,Ontario,Canada,PayPal,Friday,15:00
Holly Thomas,cporter@example.org,Event,2024-05-28,814.73,South Nathanielmouth,Ontario,Canada,Cash,Saturday,19:00
Larry Robertson,sarah52@example.com,Portrait (Studio),2025-04-05,152.02,Lindahaven,Nova Scotia,Canada,e-Transfer,Monday,17:00
Kim Erickson,thomas05@example.com,Product,2024-12-10,509.49,Brittneyhaven,Ohio,United States,Cash,Friday,12:00
Deborah Rios,jennifersilva@example.org,Portrait (Studio),2024-10-16,319.44,Silvatown,Texas,United States,Venmo,Tuesday,17:00
Travis Rodriguez,alexanderrobert@example.com,Product,2024-12-16,348.37,Hernandezbury,Florida,United States,Venmo,Friday,12:00
Nancy Brown,aprilhoffman@example.net,Portrait (Studio),2024-09-30,336.87,Shawfort,Missouri,United States,Venmo,Tuesday,11:00
Joseph Payne,chelsea33@example.com,Real Estate,2024-10-29,310.68,Edwardsburgh,Nova Scotia,Canada,Cash,Wednesday,09:30
Melissa Burns,ybailey@example.net,Product,2024-07-17,282.81,West Kellie,Ontario,Canada,PayPal,Wednesday,10:00
Jennifer Reed,kellyroberts@example.net,Product,2024-05-06,584.93,New Ericafurt,Ontario,Canada,Cash,Thursday,14:00
Ronald Nelson,derrick99@example.org,Wedding,2024-07-05,1808.25,Douglasfort,Manitoba,Canada,Cash,Saturday,17:00
Gary Kennedy,adampierce@example.org,Product,2024-09-03,437.35,Lake Jesse,Tennessee,United States,Credit Card,Wednesday,10:00
Donna Mitchell,velezchristopher@example.net,Real Estate,2024-07-01,456.01,Woodsborough,Florida,United States,e-Transfer,Friday,11:00
Amanda Huff,vlopez@example.com,Headshot,2025-02-22,175.55,East Robertburgh,Texas,United States,Credit Card,Thursday,11:00
Frances Gibson,ismall@example.net,Portrait (Studio),2024-09-26,398.98,West Ashleyville,Missouri,United States,PayPal,Monday,11:00
Jimmy Scott,alexisrogers@example.com,Event,2024-11-01,708.28,Port Daniel,Arizona,United States,Credit Card,Sunday,19:00
Jennifer Patterson,christopher12@example.org,Product,2024-09-29,370.21,East Cheryl,Virginia,United States,PayPal,Thursday,12:00
Paul Finley,brandi90@example.com,Event,2024-12-03,700.23,North Jose,Virginia,United States,Cash,Friday,15:00
Christopher Parks,hannah45@example.net,Headshot,2024-06-27,189.67,North Elizabeth,New York,United States,e-Transfer,Thursday,15:00
Lisa Perry,ztodd@example.net,Wedding,2025-02-04,2724.37,South Eric,New Jersey,United States,PayPal,Saturday,11:00
Angela Griffin,christian91@example.org,Engagement,2025-02-05,436.09,Lake Karen,Maryland,United States,PayPal,Tuesday,11:00
Scott Ramos,jenniferburns@example.net,Product,2024-09-18,541.36,New Amanda,North Carolina,United States,PayPal,Wednesday,10:00
Anthony Ford,jennifer64@example.org,Engagement,2025-01-05,362.06,South Davidchester,Illinois,United States,Credit Card,Tuesday,11:00
Amy Shannon,ajohnson@example.org,Portrait (Studio),2025-01-14,347.5,North Rodneyland,Ontario,Canada,PayPal,Tuesday,17:00
Thomas Bennett,vegadorothy@example.net,Portrait (Studio),2024-05-26,163.1,Brooksfurt,Florida,United States,e-Transfer,Thursday,17:00
Cameron Irwin,avilatiffany@example.com,Event,2024-12-10,1000.22,Davidside,Wisconsin,United States,Credit Card,Thursday,15:00
Gregory Hill,johnsondonna@example.net,Headshot,2025-01-13,295.81,Patelbury,Saskatchewan,Canada,Credit Card,Friday,15:00
Jill Powers,sanchezbradley@example.com,Wedding,2024-07-02,3496.75,East Jamieville,Tennessee,United States,e-Transfer,Friday,19:00
Jonathan Roberts,barbara53@example.com,Wedding,2025-02-22,3268.31,Port Michelle,Illinois,United States,Venmo,Saturday,14:00
Travis Hobbs,conniesimmons@example.com,Real Estate,2024-04-25,360.57,South Kevin,Alberta,Canada,e-Transfer,Friday,13:30
Emma Butler,kevinwhite@example.net,Event,2024-09-28,755.0,Shellyfurt,Missouri,United States,PayPal,Sunday,12:00
Joel Brown,jfaulkner@example.net,Event,2024-05-27,706.4,West Meredith,Nova Scotia,Canada,Cash,Friday,15:00
Tammy Boone,nicholsmaria@example.org,Event,2024-07-15,674.39,West James,British Columbia,Canada,e-Transfer,Thursday,15:00
Kristin Mendoza,kevin03@example.org,Portrait (Studio),2025-03-26,388.4,Port Charlesshire,Florida,United States,Credit Card,Thursday,11:00
Melissa Padilla,jherman@example.com,Event,2025-01-16,386.91,Lake Yvonnefort,Maryland,United States,Cash,Saturday,12:00
Ian Andrade,ugarcia@example.com,Real Estate,2025-01-11,245.27,Owensstad,Nova Scotia,Canada,Cash,Monday,11:00
Angel Shields,allentran@example.net,Product,2024-11-05,562.13,Robinstad,British Columbia,Canada,Credit Card,Monday,12:00
James Whitaker,rpierce@example.com,Real Estate,2024-07-11,312.82,Phillipsborough,Quebec,Canada,Credit Card,Tuesday,13:30
Nicholas Bell,jenniferfreeman@example.net,Portrait (Studio),2025-04-05,361.34,Levyfort,Manitoba,Canada,PayPal,Wednesday,11:00
Mary Duran,otaylor@example.org,Product,2024-05-02,343.1,New Arthurland,Wisconsin,United States,Venmo,Friday,14:00
Antonio Little,bhopkins@example.org,Wedding,2024-10-19,1614.96,North Jeffery,British Columbia,Canada,Credit Card,Friday,17:00
Kimberly Mitchell,ldrake@example.org,Engagement,2025-03-10,460.96,Smithhaven,Ontario,Canada,PayPal,Friday,17:00
Robin Adams,zmiller@example.com,Headshot,2024-10-31,258.29,East James,Washington,United States,e-Transfer,Monday,11:00
Martha Garrison,davisnicholas@example.net,Event,2024-09-29,606.81,West Gabriella,Nova Scotia,Canada,Credit Card,Saturday,15:00
Maria Rivera,jacobsonsamantha@example.org,Wedding,2024-06-24,1557.83,Lake Georgefort,North Carolina,United States,e-Transfer,Friday,11:00
Diana Daniels,whitemelissa@example.org,Headshot,2025-03-25,206.0,Nelsonland,British Columbia,Canada,PayPal,Friday,15:00
Tanya Evans,ashleyatkinson@example.net,Product,2025-03-02,380.56,Port Lori,Michigan,United States,Cash,Wednesday,12:00
Melissa Miller,brian63@example.org,Event,2024-08-10,774.24,Patrickberg,Washington,United States,Cash,Saturday,12:00
Donald Riddle,jperez@example.com,Wedding,2024-09-13,1217.68,Novakmouth,North Carolina,United States,Venmo,Saturday,14:00
Michelle Miller,normanbowers@example.org,Portrait (Studio),2025-01-03,180.0,Millerport,Quebec,Canada,PayPal,Thursday,17:00
Eric Ward,curtis12@example.com,Event,2024-09-19,779.32,Michaelland,Ontario,Canada,Cash,Friday,19:00
Brandon George,michelle04@example.com,Product,2024-08-27,483.92,Garcialand,Ontario,Canada,e-Transfer,Thursday,10:00
Carolyn James,josephadams@example.org,Real Estate,2024-05-01,283.13,Lake Rachelbury,British Columbia,Canada,Credit Card,Thursday,13:30
Mr. David Wright,mwheeler@example.com,Event,2024-05-17,318.77,Hillport,Nova Scotia,Canada,e-Transfer,Saturday,12:00
Manuel Brock,scott69@example.org,Wedding,2024-07-26,2204.44,Adamfurt,Manitoba,Canada,Credit Card,Saturday,19:00
Tracy Carter,yfaulkner@example.org,Event,2024-08-05,1083.47,South Leon,Nova Scotia,Canada,PayPal,Saturday,12:00
Timothy Gonzalez,erinpierce@example.net,Wedding,2024-09-23,2374.11,Lisafurt,British Columbia,Canada,PayPal,Saturday,14:00
Andrea Abbott,ichambers@example.net,Engagement,2024-07-27,230.84,South Lauren,Wisconsin,United States,PayPal,Wednesday,11:00
