Customer Name,Email,Photo Type,Purchase Date,Month,Price USD,Country,Payment Method,Referral Source,Customer Segment
Linda Burns,hickmannatasha@example.com,Portrait,2025-04-11,2025-04,344.66,United States,Apple Pay,Facebook,New Customer
David Bradley,millertodd@example.org,Wedding,2025-04-13,2025-04,2044.47,Canada,PayPal,Google Search,New Customer
Kim Martinez,karroyo@example.com,Event,2025-04-12,2025-04,370.88,United States,Apple Pay,Instagram,New Customer
Lisa Brandt,jenniferross@example.net,Portrait,2025-04-09,2025-04,287.45,Canada,PayPal,Direct Visit,Business Client
Jessica Holmes,wrightcaleb@example.org,Event,2025-04-10,2025-04,941.65,Canada,Cash,Direct Visit,New Customer
Crystal Robinson,zimmermanbrian@example.org,Wedding,2025-04-07,2025-04,1596.04,United States,Apple Pay,Instagram,New Customer
Shannon Jones,joshuawashington@example.net,Event,2025-04-07,2025-04,352.99,United States,Bank Transfer,Google Search,Returning Customer
Timothy Duncan,esanchez@example.com,Wedding,2025-04-11,2025-04,2228.12,Canada,PayPal,Referral,Business Client
Brent Jordan,ujenkins@example.org,Wedding,2025-04-11,2025-04,1645.4,Canada,Cash,Referral,Business Client
Victoria Garcia,zchandler@example.org,Wedding,2025-04-12,2025-04,2480.18,United States,Cash,Email Campaign,New Customer
Connor West,dwhite@example.org,Product,2025-04-09,2025-04,349.19,Canada,PayPal,Referral,New Customer
Angela Morton,williamsyvette@example.org,Portrait,2025-04-07,2025-04,368.62,United States,Credit Card,Email Campaign,Occasional Buyer
Tammy Allison,richardolson@example.com,Real Estate,2025-04-13,2025-04,584.5,United States,PayPal,Referral,New Customer
Carmen Smith,ybaker@example.com,Wedding,2025-04-07,2025-04,2101.56,Canada,Credit Card,Referral,New Customer
Michael Cross,smoore@example.org,Real Estate,2025-04-11,2025-04,327.5,Canada,PayPal,Instagram,New Customer
Lauren Daniels,brian97@example.net,Stock Photo License,2025-04-11,2025-04,53.96,Canada,Credit Card,Google Search,Returning Customer
Kim Brown,yorkcasey@example.org,Portrait,2025-04-08,2025-04,363.18,United States,PayPal,Google Search,Returning Customer
Cynthia Wilson,bethwilliams@example.org,Event,2025-04-08,2025-04,511.68,United States,Apple Pay,Direct Visit,New Customer
Kevin Mills,james53@example.com,Wedding,2025-04-12,2025-04,2486.06,Canada,Bank Transfer,Instagram,Returning Customer
Michael Evans,sarah10@example.com,Portrait,2025-04-08,2025-04,216.4,Canada,Cash,Facebook,Occasional Buyer
Kristine Garcia,williamanderson@example.com,Product,2025-04-12,2025-04,205.59,United States,Credit Card,Direct Visit,New Customer
Sherry Wood,samueldaniels@example.com,Wedding,2025-04-13,2025-04,2899.89,United States,Bank Transfer,Facebook,New Customer
Victoria Valdez,contrerasangela@example.net,Real Estate,2025-04-12,2025-04,451.77,United States,Apple Pay,Facebook,Occasional Buyer
Shawn Baker,newtoneric@example.com,Wedding,2025-04-09,2025-04,2817.19,United States,Apple Pay,Instagram,New Customer
Michelle Harris,william40@example.org,Event,2025-04-09,2025-04,945.85,Canada,Apple Pay,Referral,New Customer
Sandra Williams,kellie42@example.net,Product,2025-04-12,2025-04,230.48,Canada,Credit Card,Google Search,New Customer
Michael Hoffman,jonesnicole@example.org,Wedding,2025-04-08,2025-04,2969.7,Canada,Apple Pay,Email Campaign,New Customer
Sandra Aguilar,russellwilliams@example.com,Wedding,2025-04-13,2025-04,1612.87,United States,Apple Pay,Google Search,Business Client
Rebecca Valencia,jason31@example.com,Event,2025-04-08,2025-04,433.28,Canada,Bank Transfer,Google Search,Business Client
Stacey Russell,sarayoung@example.org,Wedding,2025-04-08,2025-04,1874.29,Canada,Apple Pay,Email Campaign,New Customer
Rita Keith,whitesandra@example.com,Product,2025-04-13,2025-04,718.76,United States,Cash,Google Search,New Customer
Sharon Cochran,erik16@example.org,Product,2025-04-11,2025-04,669.43,United States,Bank Transfer,Instagram,Business Client
Courtney Velasquez,ybailey@example.org,Wedding,2025-04-13,2025-04,2808.25,United States,PayPal,Referral,New Customer
Matthew Ross,michelle45@example.net,Real Estate,2025-04-09,2025-04,535.66,United States,Cash,Facebook,New Customer
Meghan Anthony,sheila14@example.org,Wedding,2025-04-10,2025-04,2659.99,Canada,Apple Pay,Facebook,Occasional Buyer
Victoria Johnson,yreed@example.com,Wedding,2025-04-08,2025-04,2955.6,Canada,Credit Card,Google Search,Returning Customer
William Wilson,jonathanfletcher@example.org,Portrait,2025-04-11,2025-04,346.61,United States,Cash,Direct Visit,New Customer
Renee Mcdaniel,michaeljones@example.net,Wedding,2025-04-11,2025-04,2154.09,United States,Bank Transfer,Referral,New Customer
Lisa Alvarado,cortezkevin@example.com,Event,2025-04-10,2025-04,597.18,United States,Bank Transfer,Direct Visit,New Customer
Erika Terry,jamesortega@example.com,Portrait,2025-04-10,2025-04,250.6,United States,PayPal,Referral,Returning Customer
Stephanie Gilbert,richard04@example.com,Portrait,2025-04-08,2025-04,337.03,Canada,Cash,Direct Visit,Business Client
Richard Lawson,steven73@example.net,Portrait,2025-04-12,2025-04,202.55,Canada,Cash,Referral,New Customer
Steven Flynn,donnacampbell@example.net,Wedding,2025-04-13,2025-04,2209.78,United States,Credit Card,Facebook,Returning Customer
Frances Cardenas,emilywalker@example.org,Event,2025-04-13,2025-04,601.67,United States,Bank Transfer,Instagram,Business Client
Angel Riggs,gibsonolivia@example.net,Wedding,2025-04-13,2025-04,1569.32,United States,Cash,Referral,Business Client
Michael Snyder,dylanwatts@example.org,Event,2025-04-10,2025-04,946.51,Canada,PayPal,Instagram,Returning Customer
Colleen Brock,pwilliams@example.org,Wedding,2025-04-12,2025-04,2626.45,United States,Cash,Instagram,New Customer
Robert Contreras,stephanie79@example.net,Stock Photo License,2025-04-07,2025-04,50.9,United States,Credit Card,Referral,New Customer
Jessica Meadows,vmerritt@example.com,Portrait,2025-04-12,2025-04,282.78,Canada,Cash,Direct Visit,Business Client
Paul Larsen,katie87@example.net,Product,2025-04-13,2025-04,456.04,Canada,PayPal,Email Campaign,Business Client
Jeremiah Reeves,josephflores@example.net,Portrait,2025-04-13,2025-04,337.94,Canada,Apple Pay,Referral,Returning Customer
Chris Reyes,jasminebrown@example.com,Wedding,2025-04-10,2025-04,1616.23,Canada,Bank Transfer,Facebook,Business Client
John Brown,xprice@example.net,Wedding,2025-04-10,2025-04,1726.25,United States,PayPal,Google Search,New Customer
Alicia Gilmore,wwoods@example.com,Portrait,2025-04-07,2025-04,266.48,Canada,Cash,Direct Visit,Occasional Buyer
Sarah Ashley,vmedina@example.net,Wedding,2025-04-12,2025-04,2820.99,Canada,Credit Card,Facebook,New Customer
Stephanie Freeman,ryan06@example.com,Portrait,2025-04-13,2025-04,372.91,United States,Cash,Instagram,New Customer
Rebecca Ramsey,ncalhoun@example.net,Portrait,2025-04-12,2025-04,247.21,Canada,PayPal,Referral,Occasional Buyer
James Elliott,millerroy@example.com,Stock Photo License,2025-04-13,2025-04,51.71,United States,Credit Card,Email Campaign,New Customer
David Murphy,wmurphy@example.com,Product,2025-04-09,2025-04,309.04,Canada,PayPal,Referral,New Customer
Trevor Fisher,ruizkaitlyn@example.org,Real Estate,2025-04-12,2025-04,289.56,Canada,Bank Transfer,Google Search,New Customer
Mrs. Marie Harrington DDS,herringjames@example.org,Event,2025-04-13,2025-04,346.88,United States,Credit Card,Email Campaign,New Customer
Cynthia Wells,elliottjeffery@example.net,Wedding,2025-04-13,2025-04,1870.92,United States,PayPal,Instagram,New Customer
Jacob Obrien,stricklandfrank@example.com,Wedding,2025-04-11,2025-04,2921.64,Canada,Bank Transfer,Instagram,Returning Customer
Alexander Collins,tsanders@example.org,Stock Photo License,2025-04-12,2025-04,60.92,United States,Bank Transfer,Google Search,Returning Customer
Michael Burton,terrykevin@example.net,Product,2025-04-13,2025-04,545.48,Canada,Cash,Email Campaign,New Customer
Barbara Riggs,reedross@example.com,Event,2025-04-09,2025-04,1047.51,Canada,Apple Pay,Google Search,Business Client
Matthew Smith,gshort@example.com,Event,2025-04-11,2025-04,336.96,Canada,Credit Card,Direct Visit,Returning Customer
Madison Poole,ryangross@example.net,Wedding,2025-04-11,2025-04,2130.09,Canada,Bank Transfer,Email Campaign,Business Client
Robert Medina,umarshall@example.net,Portrait,2025-04-08,2025-04,188.25,Canada,Apple Pay,Direct Visit,Business Client
Samuel Rivas,ramirezshannon@example.com,Portrait,2025-04-12,2025-04,356.43,Canada,PayPal,Google Search,New Customer
Mary Rogers,lrosales@example.com,Portrait,2025-04-12,2025-04,337.62,Canada,Bank Transfer,Google Search,New Customer
Robert Peterson,angela83@example.org,Portrait,2025-04-10,2025-04,271.89,Canada,Bank Transfer,Facebook,Business Client
Jason Peters,hannahbrewer@example.com,Event,2025-04-07,2025-04,548.64,United States,Credit Card,Instagram,Business Client
Alan Phillips,tholt@example.net,Portrait,2025-04-12,2025-04,339.54,Canada,Cash,Google Search,New Customer
Kara Schmidt,jbarajas@example.com,Wedding,2025-04-10,2025-04,2537.68,Canada,Cash,Direct Visit,Returning Customer
Jesse Parker,davidlee@example.org,Portrait,2025-04-10,2025-04,336.48,Canada,Bank Transfer,Facebook,New Customer
Tiffany Vaughn,javierwashington@example.net,Wedding,2025-04-08,2025-04,1788.88,United States,PayPal,Instagram,Business Client
Paige Carlson,wallkenneth@example.com,Wedding,2025-04-12,2025-04,2384.38,Canada,Credit Card,Instagram,New Customer
Adrian Ferguson,brandon08@example.com,Portrait,2025-04-12,2025-04,225.57,United States,Bank Transfer,Google Search,Occasional Buyer
Beth Oneill,agarcia@example.net,Event,2025-04-08,2025-04,927.68,Canada,Credit Card,Google Search,Returning Customer
John Peterson,kingmichelle@example.org,Portrait,2025-04-09,2025-04,260.12,United States,Bank Transfer,Referral,New Customer
Jennifer Jones,hernandezlisa@example.com,Wedding,2025-04-12,2025-04,2237.62,United States,PayPal,Instagram,Business Client
David Grant,yobrien@example.net,Product,2025-04-09,2025-04,251.11,Canada,Apple Pay,Direct Visit,Business Client
Joseph Hayes,levans@example.com,Wedding,2025-04-11,2025-04,2283.86,Canada,Bank Transfer,Direct Visit,Occasional Buyer
Marc Lynch,mezajared@example.org,Portrait,2025-04-12,2025-04,305.26,United States,PayPal,Email Campaign,New Customer
Brad Allen,moorericky@example.net,Event,2025-04-08,2025-04,441.35,United States,PayPal,Google Search,New Customer
Doris Hall,jacqueline71@example.net,Event,2025-04-07,2025-04,722.92,Canada,Bank Transfer,Email Campaign,Business Client
Dennis Moody,ronaldstephens@example.net,Wedding,2025-04-09,2025-04,1850.14,United States,Cash,Google Search,Returning Customer
Derek Thomas,martinkyle@example.net,Event,2025-04-13,2025-04,1117.57,United States,Credit Card,Instagram,Business Client
Tammy Gonzales,sbarker@example.com,Event,2025-04-13,2025-04,1041.82,Canada,Credit Card,Referral,Returning Customer
Kathryn Snyder,georgepamela@example.net,Event,2025-04-11,2025-04,1148.41,Canada,Cash,Google Search,Returning Customer
David Davis,keyemily@example.com,Product,2025-04-12,2025-04,640.72,United States,Credit Card,Instagram,Occasional Buyer
Pamela Thompson,lmoon@example.net,Real Estate,2025-04-13,2025-04,387.6,Canada,Apple Pay,Google Search,Business Client
Robert Costa,vbailey@example.com,Wedding,2025-04-11,2025-04,2278.45,Canada,PayPal,Direct Visit,New Customer
Shannon Rivera,zroberts@example.net,Real Estate,2025-04-11,2025-04,584.53,Canada,Bank Transfer,Facebook,Returning Customer
Brandon King,cordovarichard@example.net,Product,2025-04-12,2025-04,397.88,Canada,Cash,Direct Visit,New Customer
April Booth,mgutierrez@example.net,Wedding,2025-04-08,2025-04,1878.6,Canada,Apple Pay,Google Search,Returning Customer
Peter Garrett,harrisandrea@example.com,Portrait,2025-04-09,2025-04,253.31,Canada,Apple Pay,Referral,Returning Customer
Michael Martinez,jennifercollins@example.org,Real Estate,2025-04-11,2025-04,201.78,Canada,Cash,Email Campaign,New Customer
Anna Gay,murraydavid@example.org,Wedding,2025-04-12,2025-04,2445.03,United States,Bank Transfer,Direct Visit,New Customer
Dr. Jordan Hill PhD,jsanchez@example.org,Portrait,2025-04-13,2025-04,206.18,United States,Cash,Google Search,Returning Customer
Thomas Romero,michellehill@example.com,Wedding,2025-04-10,2025-04,2898.98,Canada,Cash,Referral,Occasional Buyer
Richard Adams,campbellkenneth@example.net,Wedding,2025-04-10,2025-04,2326.9,United States,Credit Card,Facebook,Business Client
Mary Grimes,wryan@example.com,Product,2025-04-12,2025-04,403.93,Canada,Credit Card,Facebook,Business Client
Kimberly Gibson,molly39@example.com,Real Estate,2025-04-12,2025-04,389.96,United States,Cash,Direct Visit,New Customer
Reginald Williams,zthornton@example.com,Portrait,2025-04-10,2025-04,340.72,Canada,PayPal,Email Campaign,New Customer
Matthew Hoover,tylerjohnson@example.net,Portrait,2025-04-11,2025-04,364.0,Canada,Cash,Email Campaign,Occasional Buyer
Evelyn Garcia,dgarcia@example.org,Portrait,2025-04-12,2025-04,397.1,United States,Cash,Google Search,New Customer
Jennifer Pena,charlesharrington@example.com,Stock Photo License,2025-04-08,2025-04,41.6,Canada,Credit Card,Direct Visit,Occasional Buyer
Michael Santos,melissa86@example.com,Wedding,2025-04-13,2025-04,1716.23,United States,Credit Card,Referral,Business Client
Stacy Freeman,williamsonjimmy@example.net,Wedding,2025-04-10,2025-04,2434.89,United States,Bank Transfer,Email Campaign,Business Client
Yolanda Francis,wgood@example.net,Portrait,2025-04-12,2025-04,229.17,Canada,Apple Pay,Google Search,Returning Customer
Ashlee Jackson,rebecca05@example.org,Wedding,2025-04-10,2025-04,2526.6,United States,Credit Card,Referral,Occasional Buyer
James Thomas,yknight@example.org,Real Estate,2025-04-08,2025-04,451.95,United States,Bank Transfer,Google Search,New Customer
Bob Pitts,tyleraguilar@example.org,Real Estate,2025-04-10,2025-04,246.68,United States,PayPal,Direct Visit,New Customer
David Scott,nolansteven@example.com,Event,2025-04-08,2025-04,462.05,Canada,Apple Pay,Email Campaign,New Customer
Brooke Alexander,vanessa46@example.net,Product,2025-04-11,2025-04,285.87,Canada,Cash,Facebook,Returning Customer
Ryan Gonzalez,gcastaneda@example.org,Product,2025-04-10,2025-04,479.15,United States,Credit Card,Referral,Occasional Buyer
Ian Phillips,andrew64@example.org,Stock Photo License,2025-04-13,2025-04,39.96,Canada,Cash,Facebook,New Customer
Melissa Garner,lozanojulie@example.com,Portrait,2025-04-09,2025-04,270.8,Canada,Apple Pay,Facebook,Occasional Buyer
Crystal Pham,danaoliver@example.net,Wedding,2025-04-12,2025-04,2966.92,Canada,Credit Card,Direct Visit,Business Client
Patricia Becker,courtneyberger@example.net,Real Estate,2025-04-13,2025-04,586.8,Canada,Bank Transfer,Instagram,Returning Customer
Richard Johnson,jessica14@example.com,Portrait,2025-04-12,2025-04,309.15,United States,Credit Card,Email Campaign,Returning Customer
Casey Anderson,alyssa42@example.com,Portrait,2025-04-12,2025-04,260.21,United States,Credit Card,Facebook,New Customer
Terry Coffey,julie51@example.com,Portrait,2025-04-12,2025-04,200.2,Canada,Apple Pay,Direct Visit,Occasional Buyer
Brenda Levy,zcoffey@example.net,Real Estate,2025-04-13,2025-04,228.49,Canada,Bank Transfer,Email Campaign,Business Client
Richard Smith,gibsonemily@example.net,Real Estate,2025-04-07,2025-04,334.17,United States,Cash,Direct Visit,New Customer
James Little,daniel37@example.org,Real Estate,2025-04-11,2025-04,106.96,Canada,Bank Transfer,Email Campaign,Business Client
Terri Murphy,deborahreid@example.com,Wedding,2025-04-12,2025-04,2071.54,Canada,Credit Card,Email Campaign,New Customer
Elizabeth Ortiz,brandonjohnson@example.com,Wedding,2025-04-12,2025-04,2826.35,United States,Credit Card,Email Campaign,Business Client
David Medina,qchavez@example.net,Product,2025-04-11,2025-04,381.31,United States,Credit Card,Google Search,New Customer
Kimberly Matthews,nicolepena@example.com,Portrait,2025-04-13,2025-04,174.3,United States,Cash,Referral,New Customer
Teresa Ramirez,jeff73@example.com,Product,2025-04-11,2025-04,617.89,United States,Cash,Email Campaign,New Customer
Michael Stephens,bruce43@example.org,Portrait,2025-04-13,2025-04,252.03,United States,Bank Transfer,Instagram,New Customer
Samantha Davis,darleneharper@example.org,Stock Photo License,2025-04-08,2025-04,67.77,Canada,Apple Pay,Email Campaign,New Customer
Gavin Zhang,caseyhubbard@example.org,Portrait,2025-04-08,2025-04,197.45,Canada,Credit Card,Email Campaign,New Customer
Robin Hall,kristinacarlson@example.com,Event,2025-04-07,2025-04,1173.98,Canada,PayPal,Instagram,Business Client
Brianna Anderson,lauren10@example.org,Wedding,2025-04-12,2025-04,2744.73,United States,PayPal,Facebook,Business Client
Richard Young,alfred40@example.org,Real Estate,2025-04-09,2025-04,397.99,United States,PayPal,Direct Visit,New Customer
Kelly Reese,xwest@example.net,Wedding,2025-04-07,2025-04,2491.59,United States,Bank Transfer,Instagram,Returning Customer
Jodi Walker,acostaregina@example.net,Wedding,2025-04-08,2025-04,1898.05,Canada,Apple Pay,Google Search,Business Client
Judith Maynard,lutzmelanie@example.com,Portrait,2025-04-11,2025-04,344.5,United States,Cash,Direct Visit,New Customer
Katherine Browning,lammarc@example.org,Event,2025-04-13,2025-04,954.52,Canada,Cash,Email Campaign,Occasional Buyer
Donald Schultz,oscar98@example.com,Wedding,2025-04-11,2025-04,2218.47,United States,Cash,Email Campaign,Occasional Buyer
Larry Garcia,farrelldebra@example.net,Wedding,2025-04-12,2025-04,1621.19,United States,PayPal,Facebook,Returning Customer
Cindy Hayes,robertwilcox@example.com,Event,2025-04-10,2025-04,940.94,Canada,Cash,Direct Visit,Returning Customer
Brandon Simmons,nicholas27@example.org,Wedding,2025-04-13,2025-04,2552.67,United States,Cash,Referral,Business Client
Bradley Reynolds,lisa80@example.net,Portrait,2025-04-10,2025-04,356.85,United States,Bank Transfer,Referral,New Customer
Kristina Santiago,qgomez@example.com,Wedding,2025-04-12,2025-04,2930.39,Canada,Credit Card,Google Search,Business Client
Michelle Schmitt,michael98@example.org,Wedding,2025-04-12,2025-04,1644.85,United States,Apple Pay,Google Search,Returning Customer
John Boone,megan51@example.com,Event,2025-04-08,2025-04,596.68,Canada,Cash,Email Campaign,New Customer
Renee Bruce,lynchdiane@example.net,Wedding,2025-04-08,2025-04,1968.67,United States,PayPal,Email Campaign,New Customer
Christopher Park,sandra50@example.org,Real Estate,2025-04-12,2025-04,275.06,United States,Bank Transfer,Direct Visit,New Customer
Kylie Morales,joycebonilla@example.org,Portrait,2025-04-12,2025-04,290.24,United States,Apple Pay,Email Campaign,Business Client
Cindy Barnes,eric45@example.net,Wedding,2025-04-12,2025-04,1770.62,Canada,Bank Transfer,Facebook,New Customer
Sophia Moore,craigjoseph@example.net,Product,2025-04-11,2025-04,539.79,United States,Credit Card,Google Search,Business Client
Lawrence Perry,kariwilson@example.com,Wedding,2025-04-10,2025-04,2129.75,Canada,Bank Transfer,Email Campaign,New Customer
Michael Watkins,brandon69@example.org,Product,2025-04-13,2025-04,557.73,United States,PayPal,Direct Visit,New Customer
Eric Clark,kathrynroberts@example.org,Wedding,2025-04-11,2025-04,2164.67,Canada,Cash,Facebook,New Customer
Paul Thompson,opatel@example.net,Portrait,2025-04-08,2025-04,236.29,Canada,Apple Pay,Email Campaign,New Customer
Mary Gomez,chensley@example.com,Wedding,2025-04-07,2025-04,2976.67,United States,Bank Transfer,Instagram,Business Client
Thomas Atkins,tberry@example.net,Real Estate,2025-04-08,2025-04,244.72,Canada,Cash,Instagram,New Customer
Brian Smith,george97@example.net,Portrait,2025-04-12,2025-04,207.53,Canada,Credit Card,Referral,Business Client
Anita Richard,ryanmorales@example.org,Wedding,2025-04-13,2025-04,1528.11,Canada,Apple Pay,Referral,Returning Customer
Eric Morgan,kimberly18@example.net,Event,2025-04-08,2025-04,675.92,United States,Bank Transfer,Instagram,Business Client
Jordan Bullock,michael23@example.org,Event,2025-04-13,2025-04,1048.82,United States,Cash,Google Search,New Customer
Craig Morrison,thompsonkendra@example.com,Event,2025-04-10,2025-04,771.57,Canada,Bank Transfer,Instagram,New Customer
Justin Riley,michelle52@example.com,Wedding,2025-04-08,2025-04,2265.72,United States,Bank Transfer,Facebook,Business Client
Jeremy Turner,brittany58@example.org,Real Estate,2025-04-09,2025-04,507.52,United States,Bank Transfer,Instagram,New Customer
Jesse Brown,chase19@example.net,Wedding,2025-04-07,2025-04,2638.73,Canada,Cash,Direct Visit,Business Client
Julie Spencer,colelisa@example.net,Portrait,2025-04-12,2025-04,381.04,Canada,Bank Transfer,Instagram,New Customer
Larry Mason,hayeslisa@example.com,Portrait,2025-04-12,2025-04,307.85,United States,Bank Transfer,Direct Visit,New Customer
Mrs. Maria Williams,hritter@example.net,Portrait,2025-04-10,2025-04,159.4,Canada,Credit Card,Email Campaign,Business Client
Helen Hardin,vortiz@example.net,Product,2025-04-11,2025-04,569.01,Canada,Apple Pay,Direct Visit,Occasional Buyer
Rachel Holland,riveraangela@example.com,Event,2025-04-13,2025-04,336.92,United States,Bank Transfer,Direct Visit,New Customer
Nathaniel Douglas,mathewaguilar@example.org,Wedding,2025-04-08,2025-04,1592.81,Canada,Credit Card,Direct Visit,Returning Customer
Emily Douglas,tanderson@example.org,Wedding,2025-04-13,2025-04,2561.43,United States,Bank Transfer,Facebook,Occasional Buyer
James Conner,elizabethcalderon@example.net,Portrait,2025-04-12,2025-04,343.62,United States,Bank Transfer,Google Search,New Customer
Susan Davis DDS,andrew42@example.org,Event,2025-04-09,2025-04,647.91,United States,Bank Transfer,Google Search,Returning Customer
Ralph Lee,ericphillips@example.org,Wedding,2025-04-13,2025-04,2024.73,Canada,PayPal,Direct Visit,Business Client
Kimberly Rodgers,stanleynancy@example.net,Wedding,2025-04-12,2025-04,2338.38,Canada,PayPal,Email Campaign,Business Client
James Martin,jenniferwilliams@example.com,Product,2025-04-13,2025-04,798.3,United States,Cash,Direct Visit,New Customer
Cynthia Wallace,karen73@example.net,Portrait,2025-04-09,2025-04,195.07,Canada,PayPal,Instagram,Occasional Buyer
Vincent Mueller,michealvalentine@example.com,Wedding,2025-04-12,2025-04,1943.69,United States,Bank Transfer,Direct Visit,New Customer
Douglas Reyes,mburch@example.net,Portrait,2025-04-13,2025-04,190.56,United States,Cash,Google Search,New Customer
David Davidson,angela18@example.org,Event,2025-04-11,2025-04,513.78,Canada,Cash,Instagram,Returning Customer
Phillip Nelson,mariahdavis@example.org,Portrait,2025-04-11,2025-04,352.16,United States,Bank Transfer,Email Campaign,Occasional Buyer
Stacey Arias,gbrown@example.com,Stock Photo License,2025-04-10,2025-04,48.08,Canada,Apple Pay,Direct Visit,New Customer
Zachary Brooks,florescory@example.net,Wedding,2025-04-12,2025-04,1799.55,Canada,Credit Card,Email Campaign,New Customer
Raven Taylor,samantha72@example.net,Portrait,2025-04-12,2025-04,383.57,United States,Bank Transfer,Google Search,Business Client
Luis Bullock,scottmary@example.net,Wedding,2025-04-08,2025-04,2857.96,Canada,Credit Card,Instagram,Business Client
Lisa Henderson,john10@example.org,Product,2025-04-11,2025-04,758.28,Canada,Apple Pay,Facebook,New Customer
Riley Bryant,copelandvincent@example.net,Stock Photo License,2025-04-07,2025-04,43.75,United States,Bank Transfer,Instagram,New Customer
Jose Allen,kellysmith@example.com,Wedding,2025-04-12,2025-04,2744.64,United States,Cash,Referral,Returning Customer
Jason Beck,millsmichael@example.net,Product,2025-04-09,2025-04,211.4,United States,Apple Pay,Email Campaign,Returning Customer
Rachel Romero,myerstheodore@example.net,Portrait,2025-04-09,2025-04,344.04,United States,Credit Card,Instagram,New Customer
James Burgess,kristina53@example.net,Real Estate,2025-04-08,2025-04,328.56,Canada,Apple Pay,Direct Visit,New Customer
Ashley Perkins,dennis58@example.com,Portrait,2025-04-08,2025-04,210.48,Canada,Credit Card,Direct Visit,New Customer
Carrie Maxwell,epollard@example.net,Event,2025-04-12,2025-04,468.58,Canada,Credit Card,Direct Visit,Returning Customer
Chad Baldwin,mjohnson@example.org,Real Estate,2025-04-07,2025-04,353.81,Canada,Credit Card,Email Campaign,New Customer
Stacey Stewart,zachary87@example.com,Portrait,2025-04-10,2025-04,336.83,United States,Bank Transfer,Instagram,Business Client
Matthew Mitchell,glennmartin@example.org,Event,2025-04-12,2025-04,994.35,Canada,PayPal,Google Search,New Customer
Jessica Ross,ykline@example.com,Portrait,2025-04-13,2025-04,310.7,Canada,Cash,Email Campaign,New Customer
Kathleen Jimenez,laurie61@example.com,Wedding,2025-04-13,2025-04,2574.07,United States,Bank Transfer,Instagram,New Customer
Samantha Gardner,curtis54@example.com,Wedding,2025-04-13,2025-04,1562.86,Canada,Apple Pay,Referral,New Customer
Mitchell Jackson,cbell@example.net,Real Estate,2025-04-10,2025-04,195.55,United States,Bank Transfer,Facebook,New Customer
Heather Bolton,danielle01@example.net,Portrait,2025-04-12,2025-04,372.37,Canada,Bank Transfer,Instagram,New Customer
Heidi Owen,stephaniethomas@example.net,Portrait,2025-04-11,2025-04,381.08,United States,Cash,Google Search,New Customer
Jessica Martinez,kimberlydiaz@example.com,Stock Photo License,2025-04-10,2025-04,34.02,United States,Credit Card,Facebook,Returning Customer
Amanda Hernandez,xrush@example.com,Portrait,2025-04-11,2025-04,300.66,Canada,Bank Transfer,Referral,New Customer
Laura Moreno,redwards@example.org,Product,2025-04-13,2025-04,411.54,Canada,Credit Card,Google Search,Returning Customer
